Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,33
1,999938.43,15.825,34.025,10.265,1.4,0.055,0.0,33
2,999924.7,16.08,37.93,19.41,1.78,0.095,0.005,33
3,999909.36,17.43,41.245,29.565,2.2,0.185,0.015,33
4,999893.115,19.925,43.29,40.83,2.545,0.265,0.03,33
5,999876.175,21.675,46.25,52.61,2.915,0.325,0.05,33
6,999857.615,24.665,48.66,65.32,3.23,0.455,0.055,33
7,999838.135,22.02,56.86,78.715,3.68,0.495,0.095,33
8,999815.56,24.83,60.525,94.305,4.05,0.625,0.105,33
9,999791.185,27.7,64.67,111.17,4.445,0.715,0.115,33
10,999765.35,22.105,77.38,129.245,4.955,0.825,0.14,33
11,999733.53,28.925,80.105,150.725,5.53,1.02,0.165,33
12,999700.815,31.855,87.095,172.975,5.97,1.075,0.215,33
13,999665.455,34.42,95.355,196.445,6.88,1.17,0.275,33
14,999627.015,32.65,107.94,223.155,7.61,1.32,0.31,33
15,999584.52,36.06,116.185,252.975,8.41,1.48,0.37,33
16,999537.21,45.36,120.545,285.31,9.49,1.65,0.435,33
17,999488.585,45.75,133.505,319.575,10.305,1.77,0.51,33
18,999434.32,51.035,143.785,356.965,11.325,1.975,0.595,33
19,999376.56,49.9,161.42,397.04,12.17,2.22,0.69,33
20,999311.395,61.0,168.86,442.135,13.265,2.555,0.79,33
21,999244.055,66.375,182.67,488.835,14.315,2.82,0.93,33
22,999170.355,78.11,192.165,539.605,15.65,3.01,1.105,33
23,999092.35,84.395,209.34,592.23,17.105,3.265,1.315,33
24,999008.49,96.255,221.325,650.245,18.6,3.67,1.415,33
25,998921.085,92.415,249.635,711.255,20.07,3.97,1.57,33
26,998821.78,103.495,266.49,780.375,21.675,4.4,1.785,33
27,998715.665,115.195,285.52,853.67,23.175,4.745,2.03,33
28,998600.385,130.155,304.775,932.535,24.735,5.175,2.24,33
29,998477.975,140.645,328.92,1017.87,26.44,5.66,2.49,33
30,998346.11,146.375,360.05,1109.88,28.74,6.055,2.79,33
31,998200.33,154.1,395.2,1209.835,31.105,6.345,3.085,33
32,998040.425,182.575,413.375,1319.455,33.86,6.925,3.385,33
33,997875.66,180.07,461.95,1434.62,36.19,7.66,3.85,33
34,997688.585,211.86,486.465,1561.43,39.09,8.35,4.22,33
35,997492.165,231.625,524.68,1695.895,41.98,9.09,4.565,33
36,997281.265,237.115,578.475,1842.92,45.31,9.94,4.975,33
37,997048.81,262.125,621.47,2002.195,49.39,10.53,5.48,33
38,996798.815,277.29,678.52,2174.625,53.42,11.425,5.905,33
39,996526.78,304.875,728.115,2363.355,58.15,12.265,6.46,33
40,996236.785,331.555,781.975,2566.795,62.57,13.25,7.07,33
41,995924.23,352.995,848.925,2784.345,67.36,14.405,7.74,33
42,995585.82,365.855,931.845,3019.74,72.67,15.71,8.36,33
43,995212.175,423.085,980.495,3279.83,78.33,17.08,9.005,33
44,994816.755,441.15,1077.73,3552.005,84.18,18.34,9.84,33
45,994387.115,475.775,1164.385,3851.115,90.91,19.875,10.825,33
46,993921.745,515.18,1257.99,4172.96,98.86,21.6,11.665,33
47,993419.135,547.87,1369.245,4521.075,106.63,23.38,12.665,33
48,992870.325,608.745,1467.105,4899.605,114.85,25.635,13.735,33
49,992282.39,648.495,1594.33,5307.63,124.42,27.83,14.905,33
50,991644.485,700.185,1722.77,5751.49,134.49,30.32,16.26,33
51,990957.21,741.7,1874.695,6230.695,145.525,32.29,17.885,33
52,990213.415,800.54,2022.6,6751.12,158.225,34.645,19.455,33
53,989406.84,880.5,2171.07,7312.3,170.835,37.405,21.05,33
54,988542.035,979.45,2314.755,7916.125,184.31,40.58,22.745,33
55,987621.075,1025.71,2528.575,8556.9,199.445,43.51,24.785,33
56,986617.8,1117.88,2716.145,9258.535,216.045,46.57,27.025,33
57,985542.445,1188.07,2942.155,10015.28,232.435,50.35,29.265,33
58,984375.62,1289.775,3171.105,10826.01,251.255,54.49,31.745,33
59,983123.245,1380.33,3426.855,11704.37,271.64,59.215,34.345,33
60,981772.18,1502.78,3676.31,12654.61,292.93,63.965,37.225,33
61,980325.215,1613.355,3962.15,13674.67,315.455,68.71,40.445,33
62,978763.02,1716.53,4287.725,14774.385,340.185,74.405,43.75,33
63,977076.095,1856.64,4610.885,15962.155,367.11,79.855,47.26,33
64,975270.63,2027.895,4922.965,17244.36,396.855,86.295,51.0,33
65,973341.62,2150.5,5324.055,18608.365,427.495,92.69,55.275,33
66,971260.695,2321.42,5709.44,20087.18,461.205,100.37,59.69,33
67,969027.71,2483.87,6148.43,21670.44,496.73,108.25,64.57,33
68,966641.945,2662.395,6602.88,23372.16,534.065,116.64,69.915,33
69,964081.99,2876.6,7057.44,25206.62,575.68,126.075,75.595,33
70,961353.115,3073.06,7574.545,27163.74,618.71,135.105,81.725,33
71,958431.6,3384.34,8021.295,29262.69,665.755,145.76,88.56,33
72,955348.405,3593.08,8598.05,31493.31,714.495,156.85,95.81,33
73,953295.4,2594.245,9190.105,33883.245,765.0,168.57,103.435,33
74,951104.8,2583.16,8761.06,36438.92,819.755,180.5,111.805,33
75,949017.68,2478.265,8451.355,38875.585,862.775,193.63,120.71,33
76,947010.18,2379.975,8142.995,41232.195,897.23,207.48,129.945,33
77,945080.08,2288.745,7831.525,43516.145,922.2,221.24,140.065,33
78,943224.565,2201.32,7535.54,45712.565,941.07,233.825,151.115,33
79,941452.335,2104.66,7249.42,47832.115,954.265,244.475,162.73,33
80,939742.045,2027.82,6963.15,49873.545,963.795,254.93,174.715,33
81,938102.825,1944.07,6695.08,51839.41,966.79,264.545,187.28,33
82,936528.835,1867.475,6430.94,53735.05,964.565,272.725,200.41,33
83,935022.035,1787.72,6181.3,55557.695,958.205,279.675,213.37,33
84,933573.02,1718.805,5935.115,57311.615,950.145,283.63,227.67,33
85,932186.52,1645.4,5703.7,58995.48,939.42,287.425,242.055,33
86,930850.655,1585.635,5470.59,60620.26,925.98,290.56,256.32,33
87,929577.065,1511.66,5249.905,62187.24,911.4,292.125,270.605,33
88,928353.63,1451.47,5032.5,63690.38,894.755,292.37,284.895,33
89,927184.39,1389.93,4824.13,65133.89,876.7,291.82,299.14,33
90,926059.23,1334.77,4626.26,66516.85,858.35,291.45,313.09,33
91,924981.805,1277.63,4437.44,67848.04,836.565,291.115,327.405,33
92,923952.12,1222.65,4254.33,69124.455,815.745,289.165,341.535,33
93,922969.245,1166.585,4075.655,70351.37,795.295,285.65,356.2,33
94,922027.57,1118.04,3900.555,71528.54,773.67,281.88,369.745,33
95,921122.9,1072.3,3736.25,72655.93,751.465,277.96,383.195,33
96,920261.875,1022.215,3577.555,73738.745,730.63,272.495,396.485,33
97,919439.89,975.155,3425.555,74774.145,708.02,266.97,410.265,33
98,918649.18,936.555,3275.305,75768.46,686.35,260.935,423.215,33
99,917897.025,893.88,3130.915,76722.44,664.225,256.11,435.405,33
100,917178.545,852.62,2995.8,77631.72,642.97,250.105,448.24,33
101,916491.375,816.07,2862.775,78503.775,621.35,244.125,460.53,33
102,915833.53,781.195,2739.825,79335.53,600.115,237.245,472.56,33
103,914823.055,1128.87,2621.725,80132.055,579.235,231.09,483.97,33
104,913859.565,1134.0,2826.79,80900.89,559.185,224.29,495.28,33
105,912819.52,1212.235,2981.97,81719.99,541.95,217.81,506.525,33
106,911723.74,1279.285,3161.68,82575.255,531.44,211.535,517.065,33
107,910569.31,1348.68,3344.08,83481.99,522.62,206.21,527.11,33
108,909347.935,1424.515,3532.96,84440.555,516.395,200.3,537.34,33
109,908058.04,1503.47,3733.68,85446.96,514.915,196.045,546.89,33
110,906695.945,1587.97,3942.715,86509.23,516.235,191.5,556.405,33
111,905264.665,1670.94,4166.995,87623.375,520.815,187.65,565.56,33
112,903753.575,1763.745,4391.95,88802.695,527.575,185.445,575.015,33
113,902159.06,1861.045,4636.16,90039.15,536.75,183.68,584.155,33
114,900480.865,1958.36,4892.555,91343.265,548.95,182.725,593.28,33
115,898715.19,2060.485,5156.07,92718.985,565.19,181.62,602.46,33
116,896853.195,2172.615,5427.465,94171.475,581.66,182.19,611.4,33
117,894893.455,2287.86,5719.565,95693.39,602.2,183.075,620.455,33
118,892841.97,2395.08,6032.155,97291.285,624.83,185.065,629.615,33
119,890682.72,2520.695,6342.935,98978.8,647.26,188.895,638.695,33
120,888411.32,2653.545,6667.29,100755.33,672.13,192.675,647.71,33
121,886032.58,2778.805,7016.445,102617.74,699.99,197.22,657.22,33
122,883535.305,2914.515,7370.285,104580.835,730.35,202.43,666.28,33
123,880921.495,3052.26,7737.515,106642.96,761.215,208.565,675.99,33
124,878187.135,3194.845,8112.925,108807.26,796.225,215.15,686.46,33
125,875324.63,3344.53,8502.535,111077.3,831.12,223.14,696.745,33
126,872336.425,3495.33,8906.255,113454.32,870.075,229.645,707.95,33
127,869213.99,3649.51,9333.435,115935.485,909.94,238.61,719.03,33
128,865955.535,3806.735,9767.1,118539.29,952.765,247.785,730.79,33
129,862558.28,3971.33,10205.015,121267.93,996.025,258.59,742.83,33
130,859020.625,4136.195,10659.355,124116.205,1042.445,269.935,755.24,33
131,855346.67,4298.855,11119.685,127095.24,1090.12,281.385,768.045,33
132,851528.555,4468.18,11591.545,130197.71,1139.185,292.83,781.995,33
133,847564.345,4638.215,12068.075,133436.425,1191.45,305.425,796.065,33
134,843445.33,4817.275,12561.715,136803.425,1243.055,318.535,810.665,33
135,839181.93,4992.535,13057.46,140311.1,1298.525,332.6,825.85,33
136,834782.77,5150.215,13563.865,143960.82,1354.955,345.255,842.12,33
137,830239.23,5320.98,14062.975,147744.42,1414.14,359.35,858.905,33
138,825549.76,5492.43,14562.075,151671.775,1471.595,376.425,875.94,33
139,820714.22,5664.985,15063.565,155738.56,1531.32,392.915,894.435,33
140,815744.24,5821.39,15569.415,159947.02,1593.2,410.755,913.98,33
141,810630.5,5988.48,16065.365,164299.495,1655.5,426.825,933.835,33
142,805390.655,6142.315,16559.97,168789.91,1718.745,442.99,955.415,33
143,800034.745,6287.35,17029.595,173426.75,1782.575,461.415,977.57,33
144,794558.125,6422.39,17504.75,178187.48,1847.075,479.845,1000.335,33
145,788973.065,6554.205,17948.915,183088.35,1911.985,500.4,1023.08,33
146,783277.57,6684.265,18379.065,188112.295,1978.875,520.25,1047.68,33
147,777492.595,6792.2,18804.83,193255.04,2042.525,539.68,1073.13,33
148,771625.08,6891.47,19198.44,198519.36,2106.25,559.33,1100.07,33
149,765671.555,6992.095,19574.265,203884.3,2170.45,580.595,1126.74,33
150,759646.945,7079.88,19913.97,209368.285,2234.105,601.84,1154.975,33
151,753564.365,7148.835,20235.565,214948.775,2294.675,623.025,1184.76,33
152,747444.97,7194.5,20519.18,220628.22,2354.225,643.295,1215.61,33
153,741282.215,7251.655,20759.96,226383.675,2410.96,664.155,1247.38,33
154,735097.8,7279.425,20979.34,232215.62,2464.42,683.41,1279.985,33
155,728898.015,7299.09,21159.68,238108.92,2517.83,703.38,1313.085,33
156,722697.18,7300.85,21302.77,244060.055,2570.97,720.32,1347.855,33
157,716512.93,7283.205,21415.29,250050.29,2616.98,738.805,1382.5,33
158,710340.735,7270.66,21474.13,256079.24,2659.635,756.885,1418.715,33
159,704200.96,7234.9,21506.24,262130.045,2696.225,776.02,1455.61,33
160,698114.825,7179.28,21505.695,268181.57,2732.235,793.055,1493.34,33
161,692082.53,7115.84,21452.78,274243.3,2765.185,807.52,1532.845,33
162,686111.595,7042.985,21368.2,280290.725,2794.465,819.95,1572.08,33
163,680224.725,6945.48,21243.2,286322.18,2817.32,834.765,1612.33,33
164,674421.775,6846.685,21072.32,292323.54,2835.47,847.435,1652.775,33
165,668713.655,6738.06,20868.995,298272.25,2851.79,861.235,1694.015,33
166,663118.9,6612.215,20616.995,304181.26,2862.34,872.455,1735.835,33
167,657634.31,6482.28,20333.25,310016.13,2871.52,883.585,1778.925,33
168,652260.815,6347.345,20033.42,315769.195,2875.225,892.245,1821.755,33
169,647014.74,6203.15,19690.555,321454.985,2871.325,899.755,1865.49,33
170,641895.635,6053.095,19321.88,327049.72,2862.54,907.05,1910.08,33
171,636917.775,5892.215,18933.93,332538.24,2851.97,911.595,1954.275,33
172,632075.435,5729.465,18528.74,337917.575,2836.055,914.105,1998.625,33
173,627367.675,5566.99,18101.695,343188.03,2814.705,917.94,2042.965,33
174,622806.735,5401.715,17647.745,348345.34,2792.81,917.725,2087.93,33
175,618399.205,5223.115,17181.54,353382.575,2762.225,918.235,2133.105,33
176,614128.855,5057.575,16698.565,358292.71,2729.045,915.245,2178.005,33
177,610005.375,4884.625,16224.165,363055.67,2694.29,913.28,2222.595,33
178,606028.14,4713.905,15736.1,367692.295,2653.5,908.69,2267.37,33
179,602198.34,4539.435,15234.705,372200.725,2611.835,901.975,2312.985,33
180,598511.39,4368.27,14737.49,376562.955,2568.645,893.575,2357.675,33
181,594964.27,4206.555,14224.98,380794.385,2522.56,886.09,2401.16,33
