Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.705,16.5,34.105,10.265,1.355,0.07,0.0
2,999923.82,16.505,38.705,19.21,1.64,0.12,0.0
3,999908.39,17.645,41.615,30.065,2.08,0.205,0.0
4,999891.515,20.41,43.85,41.55,2.385,0.275,0.015
5,999873.47,22.845,46.56,53.95,2.775,0.38,0.02
6,999854.905,25.085,49.485,66.91,3.12,0.455,0.04
7,999835.22,22.46,57.41,80.71,3.57,0.565,0.065
8,999811.735,25.88,60.975,96.635,3.98,0.72,0.075
9,999787.625,27.975,66.025,112.96,4.46,0.845,0.11
10,999760.92,23.09,78.98,130.945,4.975,0.94,0.15
11,999728.5,30.185,81.375,153.01,5.7,1.025,0.205
12,999695.21,33.225,88.31,175.435,6.29,1.28,0.25
13,999659.805,35.19,96.15,200.2,6.895,1.475,0.285
14,999620.61,33.86,109.36,226.665,7.62,1.54,0.345
15,999576.865,37.965,117.62,257.075,8.325,1.76,0.39
16,999530.075,45.77,122.855,289.475,9.43,1.915,0.48
17,999480.735,46.735,136.7,322.995,10.085,2.18,0.57
18,999426.49,51.715,146.91,360.935,10.89,2.345,0.715
19,999367.205,51.97,163.755,402.01,11.71,2.52,0.83
20,999301.665,62.335,172.145,447.175,13.005,2.73,0.945
21,999232.33,69.12,185.82,494.43,14.305,2.86,1.135
22,999158.55,79.56,196.02,545.835,15.645,3.08,1.31
23,999079.24,86.195,212.845,600.03,16.795,3.4,1.495
24,998993.25,98.6,225.165,659.175,18.365,3.83,1.615
25,998904.115,95.27,253.395,721.2,19.915,4.28,1.825
26,998802.075,107.41,271.705,790.69,21.305,4.8,2.015
27,998691.94,121.62,289.93,865.79,23.36,5.065,2.295
28,998575.615,133.94,311.58,945.595,25.44,5.26,2.57
29,998449.865,145.76,336.52,1032.06,27.16,5.825,2.81
30,998313.52,153.855,369.085,1125.1,29.11,6.24,3.09
31,998165.375,160.51,404.53,1228.105,31.13,6.965,3.385
32,998003.075,188.905,422.635,1340.55,33.595,7.53,3.71
33,997834.995,186.845,471.54,1458.05,36.35,8.115,4.105
34,997646.295,217.045,495.03,1588.99,39.335,8.865,4.44
35,997446.78,237.57,532.065,1726.57,42.64,9.555,4.82
36,997232.315,243.965,588.095,1874.13,45.915,10.33,5.25
37,996997.095,268.085,629.34,2039.28,49.275,11.14,5.785
38,996743.235,284.32,687.45,2213.435,53.18,12.055,6.325
39,996466.905,312.055,739.695,2403.78,57.97,12.62,6.975
40,996169.56,342.705,795.39,2608.18,63.1,13.37,7.695
41,995853.235,362.265,865.845,2827.765,68.2,14.32,8.37
42,995507.34,379.015,949.835,3066.07,73.2,15.46,9.08
43,995127.53,435.635,1002.075,3329.335,78.84,16.73,9.855
44,994727.125,453.1,1096.87,3608.46,85.815,18.01,10.62
45,994288.11,490.94,1184.91,3911.91,92.995,19.715,11.42
46,993816.465,528.24,1280.825,4239.89,100.615,21.505,12.46
47,993301.33,568.165,1390.22,4594.695,108.905,23.165,13.52
48,992749.59,622.35,1490.435,4979.355,118.58,25.085,14.605
49,992159.215,659.62,1616.35,5393.48,127.95,27.55,15.835
50,991514.76,713.485,1744.295,5842.78,137.64,29.835,17.205
51,990819.6,757.605,1896.685,6327.185,148.325,32.055,18.545
52,990064.05,820.485,2044.865,6855.325,160.415,34.76,20.1
53,989249.73,898.415,2197.52,7421.465,173.55,37.535,21.785
