Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,76
1,999937.47,16.785,33.7,10.54,1.445,0.06,0.0,76
2,999923.735,16.59,37.895,19.895,1.755,0.13,0.0,76
3,999908.355,17.71,41.23,30.3,2.2,0.195,0.01,76
4,999891.525,20.46,43.565,41.485,2.635,0.32,0.01,76
5,999874.475,21.74,46.535,53.93,2.88,0.415,0.025,76
6,999855.95,24.925,48.905,66.35,3.23,0.605,0.035,76
7,999836.585,22.17,57.33,79.57,3.605,0.67,0.07,76
8,999813.025,25.765,60.78,95.535,4.085,0.71,0.1,76
9,999788.62,28.255,65.44,112.23,4.485,0.85,0.12,76
10,999762.295,23.085,78.035,130.535,4.925,0.96,0.165,76
11,999730.0,30.08,80.99,152.185,5.465,1.055,0.225,76
12,999697.175,32.625,88.32,174.28,6.13,1.19,0.28,76
13,999662.065,34.685,95.53,199.215,6.88,1.275,0.35,76
14,999623.775,32.815,107.765,226.315,7.565,1.37,0.395,76
15,999580.545,37.07,115.18,256.725,8.47,1.54,0.47,76
16,999534.045,44.81,121.11,288.525,9.18,1.79,0.54,76
17,999485.025,45.72,133.845,322.705,10.09,1.98,0.635,76
18,999430.685,50.955,144.57,359.675,11.165,2.24,0.71,76
19,999372.485,50.135,162.075,399.885,12.135,2.475,0.81,76
20,999307.19,60.925,170.06,444.845,13.43,2.61,0.94,76
21,999239.57,66.925,183.58,491.645,14.45,2.78,1.05,76
22,999165.23,79.135,193.315,542.59,15.625,2.91,1.195,76
23,999088.6,83.67,209.11,596.895,17.16,3.205,1.36,76
24,999004.11,95.92,221.985,654.81,18.18,3.46,1.535,76
25,998915.74,93.675,249.28,716.425,19.29,3.835,1.755,76
26,998815.265,105.34,267.335,785.18,20.81,4.125,1.945,76
27,998706.845,118.74,285.555,859.61,22.565,4.52,2.165,76
28,998591.645,131.89,306.575,938.03,24.54,4.925,2.395,76
29,998468.16,142.84,332.225,1022.2,26.49,5.46,2.625,76
30,998336.145,147.425,364.565,1114.57,28.575,5.825,2.895,76
31,998191.105,154.285,399.52,1214.565,31.03,6.315,3.18,76
32,998030.6,184.82,414.54,1325.855,33.795,6.96,3.43,76
33,997863.485,183.66,464.615,1440.815,36.26,7.375,3.79,76
34,997677.98,212.235,489.59,1568.585,39.395,8.075,4.14,76
35,997482.505,231.16,525.475,1704.575,42.845,8.94,4.5,76
36,997271.27,238.5,579.06,1850.105,46.47,9.635,4.96,76
37,997038.24,264.62,620.22,2010.675,50.3,10.465,5.48,76
38,996789.865,278.54,676.475,2183.695,53.96,11.39,6.075,76
39,996520.27,304.115,726.455,2371.895,58.245,12.395,6.625,76
40,996229.095,333.885,779.02,2574.315,63.095,13.35,7.24,76
41,995916.145,355.65,848.67,2789.11,68.015,14.47,7.94,76
42,995578.255,367.73,932.385,3024.135,73.2,15.75,8.545,76
43,995205.395,424.195,981.015,3284.61,78.57,16.88,9.335,76
44,994814.1,439.19,1077.18,3556.865,84.235,18.255,10.175,76
45,994383.365,476.43,1160.645,3857.36,91.36,19.72,11.12,76
46,993919.08,515.335,1254.475,4178.73,98.92,21.305,12.155,76
47,993416.695,550.27,1362.68,4527.06,107.16,22.97,13.165,76
48,992871.62,608.19,1461.095,4904.065,115.875,24.76,14.395,76
49,992289.805,645.005,1589.635,5308.28,124.38,27.31,15.585,76
50,991658.51,694.135,1716.38,5749.145,135.435,29.43,16.965,76
51,990976.155,736.495,1865.35,6225.33,146.4,31.89,18.38,76
52,990234.505,798.375,2013.05,6741.455,158.145,34.575,19.895,76
53,989436.295,872.675,2162.835,7297.24,172.11,37.16,21.685,76
54,988574.57,975.535,2304.1,7896.625,185.575,40.145,23.45,76
55,987663.075,1017.265,2516.25,8535.835,198.855,43.36,25.36,76
56,986662.09,1114.495,2697.82,9236.79,214.76,46.7,27.345,76
57,985595.725,1180.755,2925.795,9986.655,230.995,50.41,29.665,76
58,984438.25,1280.26,3145.79,10799.715,250.18,53.76,32.045,76
59,983194.26,1368.245,3400.085,11673.675,270.83,58.55,34.355,76
60,981850.37,1492.775,3648.6,12615.49,292.275,63.285,37.205,76
61,980414.08,1602.135,3929.885,13630.645,314.63,68.29,40.335,76
62,978867.68,1700.295,4254.41,14720.725,339.96,73.22,43.71,76
63,977196.67,1837.215,4576.3,15897.495,366.165,78.895,47.26,76
64,975399.805,2013.915,4887.225,17166.61,395.965,85.47,51.01,76
65,973483.985,2135.46,5286.06,18521.415,425.58,92.4,55.1,76
66,971426.37,2295.035,5675.065,19986.01,458.69,99.485,59.345,76
67,969218.465,2448.015,6106.75,21561.695,493.2,107.84,64.035,76
68,966842.78,2639.195,6544.95,23255.855,531.09,116.93,69.2,76
