Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,3
1,999937.635,16.59,34.06,10.275,1.39,0.05,0.0,3
2,999923.515,16.84,38.085,19.595,1.855,0.11,0.0,3
3,999908.045,17.93,41.49,30.055,2.26,0.22,0.0,3
4,999891.74,19.97,44.14,41.265,2.545,0.325,0.015,3
5,999873.715,22.755,46.52,53.615,2.94,0.42,0.035,3
6,999854.22,26.36,49.26,66.225,3.355,0.53,0.05,3
7,999834.64,22.785,58.36,79.85,3.655,0.625,0.085,3
8,999810.79,26.2,62.535,95.535,4.135,0.68,0.125,3
9,999786.01,28.81,66.805,112.78,4.7,0.73,0.165,3
10,999759.26,23.47,79.575,131.445,5.14,0.895,0.215,3
11,999727.845,29.46,82.605,153.145,5.675,1.03,0.24,3
12,999695.17,31.995,88.775,176.335,6.335,1.11,0.28,3
13,999659.36,34.69,96.3,201.03,6.96,1.34,0.32,3
14,999620.585,33.185,108.875,227.785,7.675,1.54,0.355,3
15,999576.785,37.585,116.665,258.645,8.21,1.72,0.39,3
16,999529.77,45.895,121.685,291.14,9.095,1.94,0.475,3
17,999481.2,45.97,135.76,324.41,9.96,2.135,0.565,3
18,999426.435,51.49,146.155,361.955,10.94,2.365,0.66,3
19,999366.91,52.03,163.695,402.115,11.895,2.565,0.79,3
20,999300.685,62.945,171.86,447.715,13.055,2.81,0.93,3
21,999231.37,69.13,185.33,495.91,14.275,2.935,1.05,3
22,999156.49,80.685,195.66,547.24,15.565,3.12,1.24,3
23,999077.86,86.06,213.065,601.495,16.8,3.375,1.345,3
24,998991.46,98.77,225.42,660.975,18.19,3.665,1.52,3
25,998902.17,95.345,253.88,723.43,19.485,3.95,1.74,3
26,998801.38,105.725,272.07,793.405,21.19,4.255,1.975,3
27,998691.74,119.915,289.745,868.635,23.115,4.665,2.185,3
28,998576.245,132.02,310.215,949.065,24.98,5.095,2.38,3
29,998451.11,143.605,335.985,1034.31,26.7,5.665,2.625,3
30,998316.925,149.175,368.465,1127.655,28.76,6.12,2.9,3
31,998168.495,158.27,402.955,1229.32,31.215,6.53,3.215,3
32,998006.94,186.57,420.765,1341.825,33.265,7.035,3.6,3
33,997839.475,183.635,470.02,1459.17,36.19,7.545,3.965,3
34,997651.225,213.87,492.625,1590.535,39.125,8.275,4.345,3
35,997453.625,232.835,529.78,1727.89,42.275,8.855,4.74,3
36,997243.785,236.34,584.37,1875.25,45.41,9.595,5.25,3
37,997010.0,261.76,625.5,2037.445,48.96,10.645,5.69,3
38,996759.68,277.185,681.47,2211.26,52.64,11.57,6.195,3
39,996487.335,304.075,731.385,2400.58,57.49,12.395,6.74,3
40,996196.375,331.065,786.725,2602.72,62.32,13.455,7.34,3
41,995881.77,354.385,855.2,2818.98,67.225,14.385,8.055,3
42,995540.3,369.38,936.405,3056.93,72.605,15.59,8.79,3
43,995166.97,424.275,987.72,3315.735,78.97,16.78,9.55,3
44,994770.52,442.27,1084.64,3589.395,84.755,17.99,10.43,3
45,994337.46,479.88,1168.64,3891.255,91.795,19.475,11.495,3
46,993874.02,514.09,1262.185,4216.46,99.49,21.27,12.485,3
47,993370.07,548.215,1371.115,4566.485,107.26,23.34,13.515,3
48,992820.37,610.025,1466.905,4946.41,116.27,25.395,14.625,3
49,992237.78,644.815,1594.135,5354.335,125.395,27.67,15.87,3
50,991600.78,697.795,1724.785,5793.455,136.03,30.045,17.11,3
51,990912.395,741.705,1878.1,6269.925,147.25,32.07,18.555,3
52,990165.91,802.69,2027.365,6788.915,160.095,35.025,20.0,3
53,989355.465,883.085,2177.945,7350.09,174.325,37.37,21.72,3
54,988492.72,976.64,2321.67,7956.73,188.115,40.515,23.61,3
55,987570.92,1022.85,2534.4,8600.39,202.175,43.62,25.645,3
56,986567.73,1114.35,2722.115,9302.94,218.16,46.895,27.81,3
57,985491.935,1183.93,2954.8,10052.835,235.885,50.445,30.17,3
58,984320.96,1288.435,3174.36,10874.895,254.09,54.48,32.78,3
59,983063.07,1381.665,3435.405,11751.715,274.015,58.56,35.57,3
60,981707.935,1505.7,3683.81,12705.24,295.47,63.365,38.48,3
61,980255.125,1619.215,3973.285,13723.57,318.275,69.11,41.42,3
62,978693.355,1716.555,4301.15,14826.355,342.455,75.025,45.105,3
63,977003.555,1854.77,4623.285,16017.28,371.96,80.19,48.96,3
64,975189.315,2034.73,4935.22,17300.87,400.365,86.645,52.855,3
65,973254.585,2154.795,5334.435,18674.77,431.26,93.03,57.125,3
66,971171.38,2321.93,5723.91,20156.89,463.785,100.425,61.68,3
67,968941.155,2475.93,6167.31,21741.995,498.8,108.14,66.67,3
68,966543.56,2668.33,6613.11,23449.255,536.99,116.73,72.025,3
69,963977.88,2882.835,7076.55,25281.3,578.15,125.62,77.665,3
70,961244.625,3076.71,7593.15,27244.53,621.535,135.48,83.97,3
71,958315.74,3393.22,8032.545,29355.23,666.74,146.09,90.435,3
72,955230.765,3597.555,8612.965,31589.525,714.005,157.81,97.375,3
73,954831.13,943.705,9206.67,33979.145,765.32,168.9,105.13,3
74,954403.545,569.18,7378.745,36531.93,821.635,181.675,113.29,3
