Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,61
1,999938.155,16.085,34.125,10.165,1.425,0.045,0.0,61
2,999924.22,16.615,37.5,19.77,1.76,0.13,0.005,61
3,999909.055,17.355,41.69,29.685,2.005,0.2,0.01,61
4,999892.205,20.345,44.005,40.825,2.36,0.24,0.02,61
5,999874.165,22.955,46.865,52.91,2.745,0.325,0.035,61
6,999854.985,25.96,50.18,65.28,3.11,0.43,0.055,61
7,999835.06,22.925,58.835,78.965,3.615,0.515,0.085,61
8,999811.005,26.575,62.3,95.36,4.055,0.59,0.115,61
9,999786.195,29.095,66.765,112.485,4.66,0.65,0.15,61
10,999759.14,24.22,79.205,131.245,5.225,0.78,0.185,61
11,999727.835,29.745,81.65,153.545,6.06,0.945,0.22,61
12,999695.57,32.05,88.71,175.59,6.74,1.095,0.245,61
13,999660.54,34.335,95.58,200.56,7.45,1.24,0.295,61
14,999622.87,31.81,108.525,226.795,8.13,1.5,0.37,61
15,999579.48,36.35,116.845,256.17,8.97,1.725,0.46,61
16,999532.945,44.675,121.595,288.53,9.835,1.87,0.55,61
17,999484.15,45.44,135.385,321.71,10.615,2.04,0.66,61
18,999428.85,51.625,145.87,359.11,11.51,2.295,0.74,61
19,999369.305,52.16,162.36,399.995,12.775,2.535,0.87,61
20,999304.01,62.105,170.965,445.035,14.015,2.88,0.99,61
21,999235.69,68.145,184.425,492.42,15.035,3.2,1.085,61
22,999161.315,79.92,194.1,543.65,16.235,3.54,1.24,61
23,999083.88,84.81,211.52,597.055,17.46,3.85,1.425,61
24,998998.715,97.245,224.32,655.035,18.945,4.165,1.575,61
25,998909.24,95.235,250.745,718.12,20.48,4.385,1.795,61
26,998808.56,106.24,270.04,786.64,21.935,4.63,1.955,61
27,998698.97,120.475,288.325,861.32,23.715,5.065,2.13,61
28,998583.395,132.84,309.39,941.21,25.255,5.51,2.4,61
29,998458.71,144.455,333.36,1027.555,27.41,5.77,2.74,61
30,998324.675,150.22,366.97,1119.205,29.6,6.265,3.065,61
31,998176.79,158.16,402.61,1220.43,31.805,6.73,3.475,61
32,998016.0,186.145,419.745,1332.4,34.625,7.32,3.765,61
33,997848.135,185.315,468.935,1448.25,37.395,7.8,4.17,61
34,997658.9,216.235,493.595,1577.54,40.835,8.31,4.585,61
35,997461.35,235.42,530.54,1714.955,43.655,9.095,4.985,61
36,997248.98,241.21,585.705,1861.9,46.985,9.795,5.425,61
37,997017.145,263.67,627.385,2024.765,50.58,10.62,5.835,61
38,996766.96,279.12,683.755,2197.585,54.74,11.495,6.345,61
39,996493.68,306.995,733.905,2386.995,59.005,12.505,6.915,61
40,996200.93,335.685,788.255,2590.55,63.115,14.005,7.46,61
41,995884.685,359.65,853.865,2810.505,67.955,15.285,8.055,61
42,995542.425,374.375,937.55,3047.04,73.295,16.505,8.81,61
43,995166.095,431.045,990.955,3305.32,79.41,17.655,9.52,61
44,994769.545,446.99,1088.115,3580.025,85.95,18.955,10.42,61
45,994336.035,483.32,1175.495,3880.96,92.42,20.445,11.325,61
46,993866.525,523.755,1266.095,4209.36,99.5,22.37,12.395,61
47,993358.71,559.32,1376.24,4560.895,107.765,23.655,13.415,61
48,992813.185,611.335,1476.55,4942.45,116.365,25.56,14.555,61
49,992226.105,651.525,1601.015,5351.975,126.045,27.565,15.77,61
50,991588.72,702.47,1728.055,5797.495,136.255,29.88,17.125,61
51,990900.29,746.83,1876.975,6278.365,146.835,32.155,18.55,61
52,990153.305,809.265,2027.71,6796.31,158.52,34.79,20.1,61
53,989350.005,882.475,2177.985,7358.36,172.04,37.435,21.7,61
54,988485.65,982.495,2317.635,7964.375,185.665,40.605,23.575,61
55,987568.535,1024.05,2529.285,8608.76,200.26,43.585,25.525,61
56,986563.515,1119.54,2716.355,9309.335,217.115,46.48,27.66,61
57,985485.525,1191.84,2945.31,10063.305,233.73,50.245,30.045,61
58,984317.455,1293.255,3171.105,10879.53,251.785,54.48,32.39,61
59,983065.66,1380.46,3429.995,11758.335,271.165,59.255,35.13,61
60,981709.24,1507.775,3678.66,12709.02,293.085,64.115,38.105,61
61,980258.71,1620.88,3961.685,13733.07,315.31,69.225,41.12,61
62,978698.54,1719.475,4288.47,14833.985,340.465,74.515,44.55,61
63,977012.65,1858.235,4609.805,16023.75,366.825,80.435,48.3,61
64,975202.24,2032.35,4929.25,17301.22,395.915,86.87,52.155,61
65,973267.53,2160.94,5326.78,18668.995,425.74,93.575,56.44,61
