Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,112
1,999937.605,16.64,33.675,10.525,1.5,0.055,0.0,112
2,999923.66,16.83,37.775,19.705,1.92,0.11,0.0,112
3,999908.765,17.16,41.285,30.33,2.225,0.23,0.005,112
4,999892.935,19.255,43.13,41.88,2.535,0.255,0.01,112
5,999875.675,21.62,45.545,53.81,2.99,0.33,0.03,112
6,999857.57,24.355,47.825,66.455,3.28,0.465,0.05,112
7,999838.79,21.275,56.005,79.655,3.635,0.565,0.075,112
8,999816.765,23.9,59.15,95.31,4.025,0.75,0.1,112
9,999792.9,27.015,63.07,111.655,4.28,0.95,0.13,112
10,999768.18,20.545,76.23,129.025,4.855,0.995,0.17,112
11,999737.255,27.325,79.12,149.54,5.46,1.09,0.21,112
12,999705.205,30.565,85.025,171.7,5.985,1.27,0.25,112
13,999671.22,32.245,93.275,195.02,6.495,1.445,0.3,112
14,999633.75,30.375,105.99,220.84,7.08,1.59,0.375,112
15,999591.24,34.76,114.35,249.69,7.76,1.735,0.465,112
16,999545.155,43.23,118.725,281.825,8.63,1.875,0.56,112
17,999498.25,42.855,132.93,313.885,9.4,2.015,0.665,112
18,999444.365,48.925,142.995,350.645,10.145,2.16,0.765,112
19,999386.38,48.865,159.91,390.68,10.955,2.35,0.86,112
20,999323.085,58.435,167.55,435.2,12.36,2.425,0.945,112
21,999256.07,64.515,180.835,481.185,13.635,2.73,1.03,112
22,999182.83,76.765,189.805,531.565,14.93,2.955,1.15,112
23,999105.875,82.85,206.76,583.815,16.03,3.345,1.325,112
24,999022.555,94.475,219.38,641.12,17.305,3.685,1.48,112
25,998935.17,91.91,245.945,702.395,18.835,4.065,1.68,112
26,998836.19,102.995,264.235,770.02,20.355,4.36,1.845,112
27,998730.3,114.84,282.03,844.01,22.115,4.645,2.06,112
28,998616.39,128.3,300.79,923.31,23.87,5.05,2.29,112
29,998494.485,139.405,325.245,1007.14,25.585,5.6,2.54,112
30,998364.435,144.22,357.205,1097.65,27.84,5.905,2.745,112
31,998219.96,151.84,391.765,1196.695,30.36,6.335,3.045,112
32,998061.77,180.865,407.435,1306.77,32.84,6.995,3.325,112
33,997898.425,178.355,456.515,1420.295,35.11,7.59,3.71,112
34,997714.335,207.895,480.555,1547.035,37.775,8.375,4.03,112
35,997519.77,228.195,517.78,1680.05,40.815,8.95,4.44,112
36,997311.205,234.31,572.745,1823.515,43.535,9.82,4.87,112
37,997080.605,259.05,614.375,1982.35,47.68,10.55,5.39,112
38,996835.025,272.765,671.315,2152.32,51.405,11.325,5.845,112
39,996568.115,298.185,720.675,2337.99,56.445,12.25,6.34,112
40,996281.15,326.455,772.98,2538.24,61.005,13.3,6.87,112
41,995971.63,349.335,836.855,2754.505,65.825,14.2,7.65,112
42,995635.015,363.675,920.75,2985.29,71.565,15.365,8.34,112
43,995266.175,418.815,970.56,3241.25,77.375,16.67,9.155,112
44,994878.93,431.86,1067.64,3510.425,83.27,17.8,10.075,112
45,994451.0,471.03,1150.4,3807.245,89.925,19.52,10.88,112
46,993990.4,507.335,1246.175,4125.56,97.53,21.205,11.795,112
47,993493.85,539.445,1354.715,4470.86,105.475,22.9,12.755,112
48,992953.265,598.915,1448.885,4846.14,114.62,24.395,13.78,112
49,992377.695,633.985,1576.5,5246.835,123.415,26.65,14.92,112
50,991749.535,685.055,1707.365,5679.95,133.15,28.605,16.34,112
51,991071.22,727.625,1855.75,6152.75,143.555,31.14,17.96,112
52,990330.76,792.83,1998.945,6669.44,155.12,33.44,19.465,112
53,989536.53,865.455,2148.64,7223.745,168.69,35.81,21.13,112
54,988685.125,961.42,2292.57,7817.035,182.27,38.695,22.885,112
55,987773.83,1009.795,2498.225,8453.825,197.63,41.76,24.935,112
56,986784.985,1097.6,2686.315,9145.475,213.315,45.185,27.125,112
57,985714.57,1173.155,2915.84,9888.605,229.365,49.075,29.39,112
58,984559.215,1271.42,3140.75,10696.14,247.925,53.025,31.525,112
59,983315.725,1362.02,3394.54,11568.38,268.16,57.04,34.135,112
60,981978.17,1481.865,3639.715,12511.815,290.235,61.365,36.835,112
61,980545.03,1591.125,3925.325,13518.81,313.455,66.595,39.66,112
62,978996.095,1696.115,4246.26,14607.705,338.655,72.29,42.88,112
63,977329.925,1828.88,4566.075,15786.06,364.595,77.975,46.49,112
64,975538.45,2002.14,4880.4,17050.69,393.2,84.995,50.125,112
65,973626.42,2124.905,5277.49,18401.49,423.265,92.215,54.215,112
66,971556.005,2302.95,5660.75,19865.23,456.915,99.405,58.745,112
67,969349.435,2452.88,6097.245,21438.24,491.285,107.28,63.635,112
68,966969.145,2645.085,6543.83,23128.355,529.14,115.335,69.11,112
69,964424.085,2854.415,7008.18,24944.37,569.305,124.63,75.015,112
70,961708.58,3051.4,7525.055,26887.53,612.005,134.26,81.17,112
71,958806.265,3361.43,7958.24,28981.04,659.95,145.135,87.94,112
72,955733.995,3576.845,8533.93,31196.74,706.91,156.605,94.975,112
73,955486.155,786.455,9134.625,33563.58,758.325,168.09,102.77,112
74,955222.185,380.665,7194.0,36098.745,812.925,180.695,110.785,112
75,955013.525,265.91,5458.47,38113.11,835.22,194.02,119.745,112
76,954855.065,199.055,4123.43,39658.08,829.125,205.88,129.365,112
77,954734.245,150.97,3112.685,40844.045,802.73,216.25,139.075,112
78,954644.415,113.01,2351.105,41751.795,766.235,223.46,149.98,112
79,954576.3,84.99,1775.77,42451.63,723.205,227.015,161.09,112
80,954525.045,64.4,1340.745,42994.94,674.41,228.58,171.88,112
81,954486.11,48.99,1012.835,43416.23,625.57,227.51,182.755,112
82,954457.185,36.165,764.535,43747.15,577.27,223.325,194.37,112
83,954435.385,27.33,577.51,44006.3,529.89,218.08,205.505,112
84,954418.94,20.495,434.175,44214.655,484.445,211.125,216.165,112
85,954406.42,15.52,327.635,44378.905,442.075,203.155,226.29,112
86,954396.81,11.915,247.245,44511.365,401.99,194.33,236.345,112
87,954389.445,9.21,187.135,44619.355,365.04,184.14,245.675,112
88,954384.115,6.775,140.745,44707.775,331.36,174.24,254.99,112
89,954379.985,5.145,105.685,44781.93,299.515,163.885,263.855,112
90,954376.995,3.78,80.07,44842.57,271.09,153.215,272.28,112
91,954374.74,2.78,60.465,44894.125,244.71,143.17,280.01,112
92,954372.95,2.23,45.49,44937.845,220.7,133.83,286.955,112
93,954358.33,14.885,34.52,44975.735,198.55,124.48,293.5,112
94,954347.36,13.395,37.37,45007.45,178.85,115.885,299.69,112
95,954335.05,14.28,38.14,45039.09,161.18,106.805,305.455,112
96,954322.855,14.165,39.5,45068.76,145.615,98.6,310.505,112
97,954310.54,14.445,40.32,45097.555,131.48,90.09,315.57,112
98,954297.82,14.89,41.2,45124.51,118.99,82.495,320.095,112
99,954285.275,14.74,41.995,45150.47,107.79,75.625,324.105,112
100,954271.5,15.925,42.83,45174.86,97.815,69.165,327.905,112
101,954257.69,16.395,43.795,45198.98,88.69,63.415,331.035,112
102,954244.26,15.855,45.45,45221.705,80.465,58.035,334.23,112
103,954230.25,16.445,46.08,45244.07,73.29,52.96,336.905,112
104,954215.87,16.94,47.065,45265.705,66.375,48.745,339.3,112
105,954201.045,17.355,48.225,45286.535,60.06,45.04,341.74,112
106,954185.7,18.135,49.215,45307.33,54.815,40.76,344.045,112
107,954170.365,17.995,50.47,45327.68,49.93,37.515,346.045,112
108,954154.585,18.595,51.48,45347.64,45.65,34.26,347.79,112
109,954138.415,19.09,52.64,45367.175,41.99,31.42,349.27,112
110,954121.675,19.405,53.97,45386.725,38.75,28.51,350.965,112
111,954104.225,20.35,55.365,45405.85,35.98,25.945,352.285,112
112,954086.845,20.405,56.485,45425.815,33.16,23.62,353.67,112
113,954064.965,24.98,57.61,45445.25,30.765,21.68,354.75,112
114,954042.54,26.275,62.21,45464.775,28.555,19.82,355.825,112
115,954018.675,27.695,66.925,45485.135,26.4,18.325,356.845,112
116,953992.52,30.4,71.58,45505.885,24.84,17.095,357.68,112
117,953965.38,31.83,76.845,45528.585,23.05,15.835,358.475,112
118,953936.505,33.665,82.475,45551.57,22.02,14.46,359.305,112
119,953904.9,36.92,87.255,45576.635,20.945,13.34,360.005,112
120,953871.465,38.715,93.61,45603.19,20.045,12.365,360.61,112
121,953835.47,41.865,99.83,45630.655,19.48,11.415,361.285,112
122,953797.515,44.25,106.96,45659.995,18.85,10.56,361.87,112
123,953756.295,47.985,113.98,45691.07,18.265,9.99,362.415,112
124,953712.7,50.865,122.14,45723.9,18.135,9.315,362.945,112
125,953666.295,54.115,129.995,45759.41,18.095,8.595,363.495,112
126,953615.76,58.645,138.7,45796.93,17.935,8.06,363.97,112
127,953562.985,61.875,148.41,45836.505,18.265,7.59,364.37,112
128,953505.27,66.72,158.925,45878.47,18.435,7.435,364.745,112
129,953443.535,71.81,170.275,45922.865,19.165,7.26,365.09,112
130,953378.18,76.3,183.445,45969.77,19.83,6.975,365.5,112
131,953307.475,82.425,195.81,46021.07,20.295,7.1,365.825,112
132,953232.65,87.27,210.545,46075.245,21.085,7.12,366.085,112
133,953152.28,93.775,224.165,46134.05,22.25,7.04,366.44,112
134,953066.11,100.28,240.75,46195.955,23.175,7.03,366.7,112
135,952972.47,108.595,257.665,46262.835,24.345,7.005,367.085,112
136,952874.115,115.12,276.115,46334.965,25.015,7.215,367.455,112
137,952768.47,123.11,294.365,46412.5,26.5,7.29,367.765,112
138,952655.29,131.37,314.545,46495.065,27.95,7.68,368.1,112
139,952534.405,141.46,335.68,46582.18,30.09,7.7,368.485,112
140,952404.92,150.855,359.89,46675.545,31.805,8.095,368.89,112
141,952267.44,160.145,385.28,46775.93,33.595,8.305,369.305,112
142,952119.02,172.745,410.475,46883.485,35.56,9.005,369.71,112
143,951961.775,183.055,440.365,46997.58,37.58,9.435,370.21,112
