Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.8,16.5,33.62,10.59,1.44,0.05,0.0
2,999924.45,16.12,37.78,19.74,1.79,0.115,0.005
3,999909.305,17.195,41.035,30.09,2.12,0.24,0.015
4,999893.16,19.585,43.18,41.26,2.445,0.35,0.02
5,999876.065,21.77,45.72,53.265,2.725,0.42,0.035
6,999858.03,24.145,48.705,65.57,2.945,0.55,0.055
7,999838.98,21.42,56.555,79.005,3.35,0.59,0.1
8,999816.94,23.865,60.3,94.17,3.93,0.675,0.12
9,999792.725,27.08,64.09,110.77,4.385,0.79,0.16
10,999766.64,22.09,76.96,128.51,4.695,0.915,0.19
11,999736.245,27.7,79.2,150.29,5.3,1.04,0.225
12,999704.795,30.08,85.795,171.955,5.945,1.16,0.27
13,999670.275,32.66,92.88,196.06,6.425,1.37,0.33
14,999632.35,31.16,106.68,220.83,7.105,1.48,0.395
15,999589.43,35.625,114.955,250.095,7.805,1.63,0.46
16,999543.35,43.82,119.825,282.055,8.605,1.83,0.515
17,999495.54,44.275,133.205,315.05,9.31,2.03,0.59
18,999441.925,49.525,143.81,351.41,10.48,2.16,0.69
19,999384.32,48.885,161.105,390.93,11.655,2.315,0.79
20,999318.14,61.015,169.21,435.2,13.1,2.44,0.895
21,999249.89,66.96,183.385,481.695,14.41,2.67,0.99
22,999175.83,78.9,193.04,532.665,15.36,3.06,1.145
23,999097.86,85.17,210.25,585.82,16.21,3.43,1.26
24,999014.08,96.0,223.02,644.235,17.505,3.78,1.38
25,998926.45,92.94,250.515,705.51,18.97,4.025,1.59
26,998825.8,104.935,267.205,775.125,20.8,4.33,1.805
27,998719.015,117.255,285.56,849.145,22.2,4.79,2.035
28,998604.34,130.195,306.435,927.4,24.195,5.11,2.325
29,998482.2,140.59,330.65,1012.42,26.06,5.455,2.625
30,998348.905,147.19,362.36,1104.825,28.1,5.745,2.875
31,998204.525,153.13,397.355,1205.54,30.045,6.3,3.105
32,998044.975,182.69,413.295,1315.775,33.005,6.87,3.39
33,997879.545,180.715,462.14,1430.82,35.515,7.46,3.805
34,997694.265,210.03,486.0,1558.96,38.63,7.885,4.23
35,997501.335,227.11,523.86,1692.915,41.35,8.74,4.69
36,997290.67,235.2,576.455,1838.7,44.5,9.41,5.065
37,997060.63,258.875,619.33,1996.92,48.59,10.135,5.52
38,996812.0,275.095,675.485,2167.555,52.675,11.165,6.025
39,996540.245,304.36,725.715,2354.335,56.785,12.07,6.49
40,996251.075,331.4,781.475,2554.335,61.755,12.92,7.04
41,995938.74,353.81,848.96,2769.655,66.98,14.265,7.59
42,995599.345,368.03,933.44,3003.2,72.26,15.425,8.3
43,995228.36,421.77,983.405,3261.995,78.535,16.885,9.05
44,994836.155,438.615,1075.375,3537.25,84.605,18.13,9.87
45,994405.18,475.14,1162.025,3835.7,91.34,19.81,10.805
46,993941.705,512.55,1254.95,4158.75,98.71,21.54,11.795
47,993441.39,545.835,1361.51,4508.445,106.56,23.415,12.845
48,992897.42,603.39,1458.945,4886.065,114.83,25.375,13.975
49,992319.485,638.43,1583.73,5291.49,124.38,27.26,15.225
50,991690.03,689.11,1709.385,5731.365,134.38,29.215,16.515
51,991009.145,731.945,1858.16,6206.37,144.54,31.94,17.9
52,990272.75,789.545,2006.005,6721.505,156.455,34.435,19.305
53,989473.165,869.06,2155.255,7275.055,169.125,37.28,21.06
54,988617.94,966.42,2300.23,7869.135,183.645,39.645,22.985
55,987700.44,1017.67,2507.11,8508.995,198.33,42.515,24.94
56,986706.09,1104.935,2701.43,9200.14,214.23,46.085,27.09
57,985636.22,1177.335,2926.345,9949.495,231.725,49.55,29.33
58,984477.9,1277.94,3145.43,10763.64,249.375,53.96,31.755
59,983235.01,1364.69,3399.5,11639.85,268.74,57.855,34.355
60,981887.625,1493.71,3646.615,12583.195,289.43,62.355,37.07
61,980444.99,1607.375,3933.67,13594.05,312.305,67.47,40.14
62,978897.94,1702.355,4262.485,14684.34,336.935,72.48,43.465
63,977221.18,1840.425,4582.26,15866.485,364.64,77.995,47.015
64,975423.605,2012.805,4894.665,17138.99,394.22,85.085,50.63
65,973504.59,2134.19,5291.465,18497.895,425.64,91.22,55.0
66,971439.69,2298.355,5678.55,19967.535,458.165,98.19,59.515
67,969222.095,2456.2,6116.505,21542.925,491.335,106.685,64.255
68,966840.32,2644.295,6561.205,23240.67,528.66,115.47,69.38
69,964297.64,2854.645,7014.32,25065.0,569.08,124.65,74.665
70,961578.905,3054.52,7524.485,27014.365,612.79,134.175,80.76
71,958673.95,3365.5,7962.195,29108.66,659.09,143.405,87.2
72,955610.81,3570.8,8541.465,31321.58,706.125,154.805,94.415
73,954629.98,1521.275,9123.15,33699.37,756.53,167.85,101.845
74,953579.49,1278.64,7813.23,36228.705,810.38,179.565,109.99
75,952683.545,1088.845,6664.49,38411.845,839.63,192.75,118.895
76,951917.925,928.65,5684.32,40284.375,850.745,205.85,128.135
77,951263.74,793.22,4849.65,41891.13,845.8,218.155,138.305
78,950706.38,678.155,4135.025,43274.625,828.945,227.645,149.225
79,950231.06,577.61,3532.51,44459.55,802.88,236.175,160.215
80,949826.93,491.475,3013.115,45483.795,772.26,241.105,171.32
81,949482.1,418.795,2568.035,46367.425,736.965,243.46,183.22
82,949187.55,358.23,2191.82,47125.03,699.15,242.975,195.245
83,948939.165,301.765,1869.575,47781.175,658.805,242.305,207.21
84,948723.705,260.78,1591.915,48347.65,619.135,238.065,218.75
85,948540.96,222.845,1358.045,48835.09,579.86,232.735,230.465
86,948384.81,189.915,1158.39,49257.71,540.945,226.26,241.97
87,948252.395,160.535,988.585,49624.67,502.295,218.27,253.25
88,948140.32,136.425,842.495,49940.935,465.8,210.48,263.545
89,948045.175,116.01,718.25,50214.06,429.57,203.455,273.48
90,947963.675,99.18,610.9,50452.765,396.07,193.805,283.605
91,947893.115,85.29,520.64,50659.21,364.77,183.76,293.215
92,947833.375,72.705,443.785,50838.335,336.15,173.085,302.565
93,947782.435,61.735,379.125,50993.555,309.1,162.885,311.165
94,947739.245,52.535,322.845,51128.945,283.34,154.145,318.945
95,947702.835,44.37,275.44,51246.72,259.14,144.85,326.645
96,947671.0,38.505,235.16,51349.27,236.705,135.695,333.665
97,947643.955,32.795,201.295,51438.845,215.72,127.3,340.09
98,947620.68,28.05,171.97,51517.13,196.895,119.185,346.09
