date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.49,16.85,33.975,10.22,1.405,0.06,0.0
2,999923.94,16.355,38.19,19.52,1.865,0.13,0.0
3,999908.805,17.295,41.39,30.19,2.135,0.18,0.005
4,999892.385,20.015,43.14,41.66,2.535,0.25,0.015
5,999874.895,21.995,46.065,53.81,2.855,0.36,0.02
6,999856.7,24.555,48.555,66.485,3.215,0.445,0.045
7,999837.19,21.91,56.855,79.73,3.735,0.515,0.065
8,999813.72,25.475,60.695,95.415,4.04,0.56,0.095
9,999789.25,28.08,65.115,112.055,4.665,0.675,0.16
10,999762.91,22.805,78.21,129.885,5.18,0.81,0.2
11,999731.02,29.585,81.175,151.295,5.815,0.89,0.22
12,999698.74,31.865,88.11,173.585,6.345,1.09,0.265
13,999663.8,33.96,95.88,197.795,6.975,1.24,0.35
14,999625.24,32.53,108.48,224.3,7.715,1.32,0.415
15,999580.905,37.795,116.5,254.25,8.58,1.515,0.455
16,999533.695,46.065,121.97,286.855,9.21,1.69,0.515
17,999484.16,47.24,135.25,320.79,10.03,1.935,0.595
18,999430.305,51.335,146.505,358.14,10.845,2.195,0.675
19,999370.12,52.495,163.435,399.06,11.725,2.39,0.775
20,999304.76,62.36,172.2,444.21,12.89,2.74,0.84
21,999235.47,69.375,186.11,491.26,13.87,2.965,0.95
22,999160.785,80.48,196.815,542.655,15.055,3.09,1.12
23,999081.715,86.485,213.18,597.65,16.37,3.29,1.31
24,998996.73,97.985,225.515,656.91,17.825,3.58,1.455
25,998907.0,95.73,252.595,719.745,19.28,4.045,1.605
26,998804.53,107.965,271.13,789.16,20.96,4.41,1.845
27,998696.445,119.7,290.215,863.985,22.845,4.755,2.055
28,998579.825,133.71,309.765,944.61,24.765,5.03,2.295
29,998455.59,144.21,334.6,1030.63,26.785,5.62,2.565
30,998320.37,151.195,366.975,1123.175,29.33,6.125,2.83
31,998174.325,156.46,402.24,1225.595,31.465,6.78,3.135
32,998013.72,185.395,419.645,1336.535,34.04,7.23,3.435
33,997844.895,185.57,468.905,1452.24,36.68,7.97,3.74
34,997657.165,214.765,493.33,1582.07,39.99,8.585,4.095
35,997459.735,234.235,531.41,1717.5,43.25,9.405,4.465
36,997246.69,240.87,586.865,1863.765,46.78,10.06,4.97
37,997011.35,266.645,629.005,2026.175,50.445,10.9,5.48
38,996758.805,282.93,686.075,2200.26,54.15,11.86,5.92
39,996482.67,310.84,737.465,2391.23,58.65,12.65,6.495
40,996188.665,338.48,794.445,2594.485,63.09,13.74,7.095
41,995871.105,361.18,862.19,2814.91,67.715,15.16,7.74
42,995526.645,376.005,945.475,3054.045,72.96,16.38,8.49
43,995148.705,432.55,996.935,3315.48,79.515,17.58,9.235
44,994748.28,451.175,1094.92,3590.94,85.865,18.79,10.03
45,994310.175,489.835,1182.415,3893.22,93.16,20.23,10.965
46,993838.145,529.005,1276.405,4222.575,100.335,21.66,11.875
47,993329.115,561.595,1388.28,4575.52,108.935,23.595,12.96
48,992775.225,621.53,1486.6,4959.385,117.68,25.61,13.97
49,992181.835,661.5,1614.205,5372.655,126.795,27.775,15.235
50,991539.745,711.6,1744.395,5820.49,136.99,30.105,16.675
51,990845.345,756.86,1896.05,6303.32,147.525,32.67,18.23
52,990091.8,818.55,2042.61,6831.355,160.51,35.4,19.775
53,989277.915,897.615,2193.855,7397.69,173.625,37.8,21.5
54,988407.51,995.31,2340.43,8005.915,186.455,40.965,23.415
55,987476.645,1045.035,2552.57,8654.66,201.33,44.22,25.54
56,986464.035,1136.99,2743.3,9362.62,218.03,47.38,27.645
57,985379.76,1207.225,2972.475,10123.02,236.06,51.435,30.025
58,984205.335,1307.91,3195.76,10948.03,255.365,55.17,32.43
59,982944.2,1398.595,3456.25,11830.69,275.72,59.39,35.155
60,981578.425,1530.42,3701.65,12789.97,297.395,64.045,38.095
61,980123.715,1638.47,3988.735,13817.135,321.56,69.19,41.195
62,978553.255,1741.235,4315.795,14922.925,347.375,74.595,44.82
63,976859.295,1878.145,4640.52,16119.125,374.295,80.23,48.39
64,975041.57,2051.595,4958.605,17405.89,402.995,86.905,52.44
65,973098.415,2178.065,5358.72,18780.95,432.89,94.11,56.85
66,971000.605,2351.275,5751.065,20267.705,465.89,102.045,61.415
67,968758.425,2507.49,6193.165,21863.27,501.55,109.655,66.445
68,966342.98,2702.585,6643.14,23581.12,539.75,118.52,71.905
69,963766.34,2912.795,7114.145,25420.43,580.205,128.08,78.005
70,961018.88,3108.59,7634.625,27391.765,623.67,138.31,84.16
71,958067.105,3422.125,8088.2,29512.57,670.325,148.36,91.315
72,954959.12,3625.59,8681.435,31757.1,719.085,159.06,98.61
73,953959.185,1547.695,9285.795,34160.075,770.1,170.865,106.285
74,952897.475,1296.34,7946.275,36734.94,826.085,184.66,114.225
75,951983.855,1109.7,6774.13,38956.35,854.265,198.56,123.14
76,951206.0,944.545,5779.345,40860.865,864.755,211.895,132.595
77,950544.755,805.38,4927.905,42497.07,858.67,223.17,143.05
78,949981.16,683.805,4202.195,43903.425,843.49,232.015,153.91
79,949500.3,585.835,3581.055,45110.65,818.36,238.69,165.11
80,949091.205,497.045,3056.07,46147.63,787.165,244.0,176.885
81,948743.04,423.295,2603.465,47044.525,750.405,246.175,189.095
82,948445.99,360.675,2219.47,47814.39,712.185,246.265,201.025
83,948191.36,308.905,1891.995,48479.005,671.655,243.955,213.125
84,947974.54,263.39,1611.01,49054.855,631.105,239.76,225.34
85,947789.96,223.865,1376.425,49548.63,589.925,233.89,237.305
86,947632.27,191.75,1173.58,49976.69,550.7,226.085,248.925
87,947497.19,163.75,1002.715,50345.92,511.13,218.96,260.335
88,947382.115,139.4,854.74,50668.405,473.75,210.615,270.975
89,947284.58,118.65,728.865,50946.635,438.26,201.645,281.365
90,947202.39,99.88,622.425,51186.875,404.89,192.35,291.19
91,947131.365,86.04,528.87,51396.43,373.425,183.165,300.705
92,947070.61,73.45,451.965,51577.225,343.405,173.93,309.415
93,947019.23,62.59,384.87,51735.415,315.2,164.955,317.74
94,946975.025,53.47,327.92,51872.565,289.25,155.415,326.355
95,946937.91,45.285,280.69,51991.485,264.63,145.855,334.145
96,946905.35,39.475,237.635,52097.42,242.005,136.97,341.145
97,946878.86,32.49,202.815,52188.72,220.84,128.595,347.68
98,946855.63,28.15,171.885,52269.02,201.165,120.32,353.83
99,946836.215,23.4,146.2,52339.3,182.96,112.035,359.89
100,946819.855,19.82,123.855,52400.42,166.835,103.72,365.495
101,946806.33,16.58,105.795,52452.34,151.755,96.695,370.505
102,946794.345,14.6,88.855,52499.595,137.875,89.47,375.26
103,946784.075,12.66,75.88,52540.03,125.365,82.5,379.49
104,946775.31,10.735,64.57,52575.995,114.13,75.75,383.51
