Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.715,16.535,34.07,10.24,1.39,0.05,0.0
2,999924.195,16.405,37.83,19.64,1.82,0.11,0.0
3,999909.865,16.665,40.895,30.255,2.105,0.21,0.005
4,999894.185,18.865,42.915,41.215,2.495,0.315,0.01
5,999876.79,21.515,45.58,52.885,2.88,0.33,0.02
6,999858.42,24.425,47.86,65.5,3.31,0.455,0.03
7,999838.835,22.095,56.26,78.505,3.71,0.54,0.055
8,999815.59,25.62,59.865,94.075,4.15,0.625,0.075
9,999791.32,28.115,64.5,110.62,4.605,0.72,0.12
10,999765.605,22.2,78.01,127.985,5.165,0.895,0.14
11,999734.27,28.585,80.555,149.59,5.78,1.03,0.19
12,999701.86,31.53,86.875,171.905,6.39,1.21,0.23
13,999666.47,34.345,94.72,195.86,6.975,1.355,0.275
14,999628.545,32.105,106.925,223.005,7.535,1.525,0.36
15,999585.705,36.185,115.78,252.075,8.22,1.575,0.46
16,999539.475,44.285,121.02,284.15,8.81,1.735,0.525
17,999490.435,45.615,134.0,317.45,10.11,1.775,0.615
18,999435.765,51.38,144.24,354.83,11.155,1.92,0.71
19,999377.885,50.375,162.43,394.15,12.15,2.205,0.805
20,999312.295,61.78,170.335,438.98,13.18,2.52,0.91
21,999243.895,67.765,184.32,485.935,14.3,2.78,1.005
22,999169.36,80.115,193.525,537.07,15.77,3.02,1.14
23,999092.215,84.545,210.355,591.1,17.115,3.335,1.335
24,999007.075,97.305,222.07,649.805,18.52,3.74,1.485
25,998918.39,94.615,249.44,712.075,19.63,4.15,1.7
26,998818.17,105.115,268.25,780.825,21.225,4.55,1.865
27,998710.0,118.17,286.84,855.025,22.925,5.0,2.04
28,998594.145,131.895,306.38,935.235,24.91,5.17,2.265
29,998472.29,140.98,332.08,1019.91,26.645,5.65,2.445
30,998338.39,149.085,362.345,1112.53,28.835,6.12,2.695
31,998192.5,155.76,397.925,1213.05,31.315,6.475,2.975
32,998032.2,184.53,415.02,1324.015,33.89,7.06,3.285
33,997867.445,181.72,464.25,1438.545,36.755,7.63,3.655
34,997681.17,212.01,488.215,1566.56,39.665,8.36,4.02
35,997484.465,232.21,524.735,1702.585,42.455,9.13,4.42
36,997275.385,236.44,578.56,1849.03,45.995,9.625,4.965
37,997043.47,261.345,619.52,2010.135,49.575,10.46,5.495
38,996794.775,276.51,675.425,2182.515,53.595,11.105,6.075
39,996523.01,304.335,726.03,2370.195,57.77,12.04,6.62
40,996233.035,332.76,780.77,2570.615,62.53,13.025,7.265
41,995918.645,356.145,849.41,2786.455,67.305,14.17,7.87
42,995579.67,369.56,931.49,3022.885,72.64,15.145,8.61
43,995207.805,423.855,981.38,3282.28,79.12,16.155,9.405
44,994815.04,440.49,1076.47,3554.555,85.46,17.715,10.27
45,994383.74,477.525,1164.13,3851.875,92.395,19.2,11.135
46,993919.395,516.39,1256.92,4174.475,99.835,21.075,11.91
47,993415.86,551.165,1366.675,4523.225,107.555,22.735,12.785
48,992869.15,609.545,1464.275,4902.025,116.55,24.635,13.82
49,992287.145,645.655,1591.155,5308.505,125.89,26.62,15.03
50,991652.605,698.245,1716.94,5750.8,136.45,28.63,16.33
51,990966.93,741.62,1867.07,6228.43,146.93,31.13,17.89
52,990223.52,803.545,2014.045,6746.9,158.285,34.245,19.46
53,989420.105,881.645,2162.51,7306.2,171.09,37.33,21.12
54,988562.845,975.85,2306.145,7906.825,185.015,40.43,22.89
55,987647.05,1022.615,2513.905,8548.19,199.105,44.2,24.935
56,986652.44,1112.69,2702.705,9242.805,214.83,47.495,27.035
57,985579.01,1187.93,2927.785,9994.305,230.56,50.96,29.45
58,984420.91,1286.37,3152.615,10803.56,249.525,54.97,32.05
59,983174.83,1377.52,3406.215,11678.83,268.67,59.185,34.75
60,981829.95,1501.13,3652.26,12625.29,290.37,63.51,37.49
61,980394.575,1607.61,3936.625,13638.25,314.075,68.16,40.705
62,978839.97,1713.93,4261.235,14727.67,339.815,73.35,44.03
63,977164.315,1850.685,4580.755,15909.705,367.73,79.185,47.625
64,975363.39,2023.135,4901.515,17179.525,395.435,85.355,51.645
65,973446.46,2142.19,5298.99,18539.225,425.51,91.665,55.96
66,971372.845,2316.0,5687.095,20004.96,459.72,98.73,60.65
67,969153.415,2471.595,6123.65,21584.42,494.32,107.12,65.48
68,966772.04,2657.025,6567.52,23285.62,532.825,114.425,70.545
69,964227.24,2865.75,7028.28,25104.82,574.365,123.285,76.26
70,961502.44,3068.15,7542.625,27053.1,617.88,133.535,82.27
71,958585.595,3377.51,7994.975,29145.175,663.975,143.895,88.875
72,955514.595,3579.54,8579.615,31364.16,710.8,155.09,96.2
73,955365.785,687.09,9168.595,33744.81,763.685,166.08,103.955
74,955205.64,264.52,7137.66,36281.975,818.375,179.795,112.035
75,955081.245,164.155,5322.15,38280.43,836.75,194.46,120.81
76,954987.795,117.78,3936.795,39791.105,829.445,207.27,129.81
77,954918.895,86.855,2913.95,40918.895,803.065,218.48,139.86
78,954866.95,65.075,2153.255,41775.125,764.195,224.77,150.63
79,954828.845,47.655,1591.96,42423.13,718.175,228.32,161.915
80,954801.69,34.69,1177.0,42915.975,667.915,229.63,173.1
81,954781.705,25.045,869.525,43292.895,618.155,228.2,184.475
82,954766.57,19.1,641.895,43584.93,568.035,223.87,195.6
83,954755.17,14.115,475.085,43812.51,519.295,217.185,206.64
84,954746.72,10.54,350.56,43992.195,473.355,209.35,217.28
85,954740.725,7.6,260.425,44131.535,430.39,201.69,227.635
86,954736.22,5.67,192.09,44245.195,391.45,191.77,237.605
87,954732.765,4.32,141.325,44338.585,354.235,182.23,246.54
88,954730.205,3.245,104.815,44413.405,320.945,171.9,255.485
89,954728.44,2.305,77.19,44476.065,290.455,161.565,263.98
90,954727.165,1.545,56.92,44528.735,262.095,151.53,272.01
91,954726.11,1.27,41.97,44572.895,236.72,141.6,279.435
92,954725.55,0.78,31.145,44610.59,213.99,131.375,286.57
93,954724.99,0.665,23.095,44643.695,192.645,122.015,292.895
94,954724.58,0.48,17.095,44672.28,173.57,112.965,299.03
95,954724.31,0.33,12.645,44697.435,156.535,104.355,304.39
96,954724.04,0.32,9.295,44720.52,140.525,95.925,309.375
97,954723.875,0.225,6.925,44740.045,126.825,88.13,313.975
98,954723.75,0.18,5.19,44758.0,113.785,81.11,317.985
99,954723.67,0.12,3.77,44773.845,102.59,74.23,321.775
100,954723.615,0.06,2.75,44787.995,91.9,67.99,325.69
101,954723.58,0.05,1.985,44801.04,82.66,61.825,328.86
