"date","confirmed","death","recovered","active","confirmed_cum","death_cum","recovered_cum","active_cum"
2020-01-22,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0
2020-02-04,5,0,0,0,0,0,0,5
2020-02-04,10,0,0,0,0,0,0,10
2020-02-04,11,0,0,0,0,0,0,11
2020-02-05,9,0,0,0,0,0,0,9
2020-02-06,9,0,0,0,0,0,0,9
2020-02-07,7,0,0,0,0,0,0,7
2020-02-08,18,0,0,0,0,0,0,18
2020-02-09,16,0,0,0,0,0,0,16
2020-02-10,16,0,0,0,0,0,0,16
2020-02-11,31,0,0,0,0,0,0,31
2020-02-12,24,0,0,0,0,0,0,24
2020-02-13,27,0,0,0,0,0,0,27
2020-02-14,30,0,0,0,0,0,0,30
2020-02-15,40,0,0,0,0,0,0,40
2020-02-16,39,0,0,0,0,0,0,39
2020-02-17,35,0,0,0,0,0,0,35
2020-02-18,45,0,0,0,0,0,0,45
