Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.94,16.22,33.85,10.515,1.44,0.035,0.0
2,999924.585,16.03,37.585,19.945,1.75,0.1,0.005
3,999908.76,17.845,41.12,29.955,2.16,0.15,0.01
4,999892.395,20.215,43.43,41.12,2.535,0.275,0.03
5,999874.835,22.17,46.75,52.89,2.93,0.39,0.035
6,999855.84,25.35,49.295,65.66,3.295,0.495,0.065
7,999836.1,22.545,57.69,79.33,3.655,0.585,0.095
8,999812.9,25.555,61.54,95.295,3.94,0.645,0.125
9,999788.785,27.86,66.11,111.89,4.495,0.7,0.16
10,999761.87,23.395,78.7,130.045,4.935,0.86,0.195
11,999729.965,29.805,81.84,151.66,5.55,0.965,0.215
12,999697.525,32.14,88.37,174.36,6.21,1.125,0.27
13,999662.585,33.975,96.455,198.54,6.87,1.27,0.305
14,999623.845,32.625,109.1,225.14,7.48,1.46,0.35
15,999580.41,36.82,116.885,255.405,8.34,1.7,0.44
16,999533.87,44.75,122.215,287.4,9.335,1.915,0.515
17,999485.06,45.61,135.015,321.51,10.125,2.08,0.6
18,999431.15,50.435,145.665,358.725,11.055,2.255,0.715
19,999372.055,51.05,162.365,399.22,11.97,2.49,0.85
20,999306.67,61.53,170.945,444.035,13.1,2.76,0.96
21,999238.045,67.835,184.71,491.225,14.05,3.05,1.085
22,999163.965,79.215,194.79,542.19,15.365,3.275,1.2
23,999085.41,85.83,210.625,596.435,16.89,3.435,1.375
24,999001.01,96.645,224.66,654.525,17.98,3.64,1.54
25,998911.22,95.585,250.83,717.035,19.56,4.085,1.685
26,998809.4,107.605,268.445,786.675,21.595,4.37,1.91
27,998702.27,119.41,286.775,861.555,23.085,4.75,2.155
28,998586.29,132.68,307.18,941.55,24.745,5.215,2.34
29,998464.065,141.94,332.335,1026.76,26.79,5.51,2.6
30,998331.92,147.575,363.53,1119.175,28.83,6.045,2.925
31,998184.77,156.45,397.705,1220.1,30.98,6.805,3.19
32,998025.98,183.55,415.27,1330.905,33.57,7.215,3.51
33,997857.01,184.94,465.095,1445.26,35.895,7.895,3.905
34,997670.55,212.89,490.775,1574.365,38.83,8.28,4.31
35,997475.055,232.035,527.915,1709.25,41.99,9.075,4.68
36,997263.695,238.25,581.775,1855.745,45.665,9.67,5.2
37,997030.325,263.625,622.675,2017.74,49.335,10.605,5.695
38,996781.445,276.59,680.09,2190.37,53.77,11.555,6.18
39,996509.365,304.495,728.36,2380.455,57.945,12.595,6.785
40,996218.7,333.015,782.78,2582.025,62.515,13.55,7.415
41,995904.705,356.585,847.685,2800.425,67.84,14.775,7.985
42,995564.115,370.97,931.75,3035.61,72.9,15.955,8.7
43,995190.52,426.01,983.65,3294.365,78.91,16.95,9.595
44,994797.235,440.95,1078.99,3568.085,85.97,18.43,10.34
45,994366.485,477.13,1164.69,3868.095,92.565,19.795,11.24
46,993899.86,516.285,1259.345,4190.975,99.97,21.415,12.15
47,993399.33,545.58,1371.41,4539.865,107.235,23.485,13.095
48,992853.1,605.34,1463.765,4922.97,115.34,25.29,14.195
49,992270.805,641.74,1592.49,5327.485,124.59,27.57,15.32
50,991636.325,694.175,1720.33,5768.005,135.025,29.385,16.755
51,990952.355,736.695,1868.245,6246.225,146.335,31.995,18.15
52,990209.3,798.24,2016.22,6763.64,158.82,34.0,19.78
53,989407.33,875.21,2164.94,7322.395,171.725,36.9,21.5
