Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,112
1,999916.845,21.97,46.13,12.415,1.59,0.05,0.0,112
2,999899.565,21.78,51.645,23.845,2.085,0.075,0.005,112
3,999879.815,23.82,55.605,37.16,2.46,0.13,0.01,112
4,999858.6,26.795,59.225,51.2,2.975,0.19,0.015,112
5,999835.305,29.905,63.665,66.36,3.515,0.225,0.025,112
6,999811.105,32.79,68.355,82.41,4.025,0.275,0.04,112
7,999784.6,31.845,77.525,100.235,4.4,0.335,0.06,112
8,999755.235,35.415,83.105,119.795,4.955,0.415,0.08,112
9,999723.62,39.03,89.07,141.255,5.425,0.5,0.1,112
10,999689.925,35.05,103.55,163.795,5.975,0.57,0.135,112
11,999649.94,42.85,108.56,190.395,6.53,0.565,0.16,112
12,999608.335,46.34,118.345,218.005,7.105,0.685,0.185,112
13,999563.385,50.245,128.52,248.02,7.835,0.76,0.235,112
14,999514.77,50.815,143.045,280.61,8.62,0.865,0.275,112
15,999460.13,56.78,154.39,317.025,9.42,0.955,0.3,112
16,999401.21,65.445,164.03,356.51,10.395,1.07,0.34,112
17,999339.735,67.275,180.345,398.695,11.315,1.24,0.395,112
18,999271.335,74.795,193.34,445.15,12.63,1.285,0.465,112
19,999198.315,76.185,214.295,494.85,13.43,1.415,0.51,112
20,999116.285,89.59,226.535,549.93,14.545,1.51,0.605,112
21,999029.2,97.62,245.68,608.175,15.955,1.725,0.645,112
22,998935.8,110.03,262.37,670.92,17.23,1.94,0.71,112
23,998835.63,119.16,284.225,738.385,18.76,2.03,0.81,112
24,998728.335,131.775,304.7,811.04,20.095,2.15,0.905,112
25,998611.98,136.02,337.235,888.695,21.7,2.38,0.99,112
26,998482.505,151.66,363.025,974.62,23.32,2.74,1.13,112
27,998344.115,166.13,391.625,1068.0,24.93,2.92,1.28,112
28,998195.195,181.995,421.675,1168.615,26.965,3.15,1.405,112
29,998035.29,196.91,456.005,1276.31,29.695,3.225,1.565,112
30,997862.745,208.165,495.745,1394.955,32.09,3.58,1.72,112
31,997674.355,221.81,539.05,1523.15,34.825,3.92,1.89,112
32,997468.17,253.565,571.525,1661.475,38.055,4.12,2.09,112
33,997249.21,261.475,632.86,1807.455,41.19,4.48,2.33,112
34,997010.095,293.25,672.945,1970.95,44.23,5.02,2.51,112
35,996754.715,318.155,726.39,2144.045,47.55,5.375,2.77,112
36,996478.71,334.265,793.62,2332.0,51.59,5.8,3.015,112
37,996178.46,365.165,853.41,2536.42,56.115,6.13,3.3,112
38,995855.96,388.51,927.145,2756.605,60.61,6.59,3.58,112
39,995503.685,424.915,998.57,2995.13,65.825,6.99,3.885,112
40,995125.105,462.49,1075.45,3252.96,71.2,7.56,4.235,112
41,994716.485,496.24,1166.46,3530.55,76.53,8.1,4.635,112
42,994274.205,526.205,1270.925,3831.18,82.845,8.55,5.09,112
43,993790.02,592.05,1353.26,4158.175,90.53,9.34,5.625,112
44,993279.885,618.345,1479.91,4506.525,98.185,10.13,6.02,112
45,992719.755,671.025,1595.78,4888.75,106.17,11.06,6.46,112
46,992117.575,725.22,1723.95,5298.19,115.005,12.095,6.965,112
47,991469.96,772.67,1868.42,5742.815,124.575,13.03,7.53,112
48,990763.48,850.755,2002.925,6225.825,133.64,14.215,8.16,112
49,990007.985,907.875,2172.61,6741.89,144.105,15.74,8.795,112
50,989190.025,978.33,2345.375,7301.92,156.755,17.035,9.56,112
51,988307.82,1045.835,2540.41,7906.88,169.12,18.545,10.39,112
52,987354.31,1129.915,2738.185,8561.985,183.44,19.965,11.2,112
53,986323.325,1229.685,2948.895,9265.0,198.18,21.57,12.345,112
54,985214.34,1347.95,3162.89,10024.2,212.87,23.35,13.4,112
55,984027.28,1425.75,3439.64,10837.125,229.355,25.25,14.6,112
56,982741.5,1544.695,3698.83,11722.585,247.82,27.95,15.62,112
57,981356.955,1652.68,3999.88,12674.495,268.04,29.935,17.015,112
58,979862.14,1787.55,4307.46,13702.27,288.885,32.085,18.61,112
59,978254.385,1917.28,4649.4,14810.33,313.13,34.265,20.21,112
60,976522.67,2079.23,4993.045,16008.43,336.84,36.795,21.99,112
61,974664.745,2232.78,5383.365,17290.255,364.125,40.035,23.695,112
62,972669.08,2378.94,5812.39,18677.195,392.36,43.32,25.715,112
63,970521.28,2558.48,6245.7,20176.045,422.98,46.605,27.91,112
64,968216.175,2772.865,6691.64,21782.155,456.18,49.675,30.31,112
65,965749.985,2952.4,7209.23,23509.13,491.79,53.82,32.645,112
66,963097.835,3175.08,7739.55,25363.55,529.275,58.555,35.155,112
67,960265.92,3384.77,8323.485,27355.41,568.28,63.135,38.0,112
68,957223.64,3636.805,8920.77,29496.94,611.32,68.33,41.195,112
69,953976.425,3906.0,9540.93,31799.555,657.995,73.615,44.48,112
70,950516.75,4182.64,10206.29,34260.8,705.605,78.8,48.115,112
71,946823.315,4470.355,10924.575,36886.21,757.72,84.995,51.83,112
72,942893.54,4761.635,11683.795,39698.975,813.64,91.47,55.945,112
73,942055.02,1723.355,12478.325,42711.265,872.325,98.205,60.505,112
74,941159.875,1216.23,10588.24,45928.9,934.415,106.075,65.265,112
75,940403.225,982.27,8777.16,48689.805,962.82,113.14,70.58,112
76,939778.545,806.67,7261.585,50993.35,962.565,120.045,76.24,112
77,939257.01,671.025,6005.95,52917.775,939.435,125.605,82.2,112
78,938829.16,551.69,4969.44,54531.05,900.435,128.435,88.79,112
79,938476.26,455.195,4107.94,55881.71,853.105,129.88,94.91,112
80,938182.775,378.595,3393.685,57011.6,800.18,130.855,101.31,112
81,937939.34,313.44,2806.26,57960.81,742.435,129.045,107.67,112
82,937739.375,258.35,2320.235,58755.095,685.765,126.1,114.08,112
83,937572.69,214.965,1917.985,59422.19,628.835,121.985,120.35,112
84,937436.445,176.77,1588.725,59980.25,573.555,116.93,126.325,112
85,937323.335,145.71,1313.42,60452.44,521.3,110.99,131.805,112
86,937229.565,120.425,1086.735,60847.595,472.075,105.335,137.27,112
87,937152.885,99.205,897.585,61181.39,427.275,98.435,142.225,112
88,937088.21,82.89,741.735,61463.17,383.615,92.395,146.985,112
89,937034.755,68.86,614.48,61699.74,344.77,84.65,151.745,112
90,936991.095,56.435,508.33,61900.85,308.095,78.39,155.805,112
91,936955.15,46.62,420.125,62070.05,275.4,71.76,159.895,112
92,936924.83,39.015,346.575,62213.54,245.73,65.84,163.47,112
93,936900.425,31.805,287.115,62334.02,218.9,59.915,166.82,112
94,936879.385,27.09,236.87,62436.415,194.76,54.705,169.775,112
95,936862.21,22.085,197.47,62522.16,172.99,49.56,172.525,112
