Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,69
1,999916.065,22.58,46.485,12.31,1.505,0.055,0.0,69
2,999898.155,22.78,52.01,23.975,2.015,0.065,0.0,69
3,999878.19,24.39,56.84,36.925,2.505,0.15,0.0,69
4,999856.825,27.21,60.11,51.66,2.98,0.215,0.0,69
5,999833.74,30.025,64.38,67.09,3.5,0.255,0.01,69
6,999808.955,33.485,68.575,83.8,3.895,0.275,0.015,69
7,999782.73,31.935,78.455,101.285,4.225,0.335,0.035,69
8,999752.625,36.175,83.44,121.49,4.78,0.44,0.05,69
9,999720.43,39.45,90.25,143.09,5.205,0.49,0.085,69
10,999685.995,35.945,104.235,166.42,5.68,0.63,0.095,69
11,999646.71,42.63,109.82,192.595,6.42,0.685,0.14,69
12,999605.4,46.15,118.44,220.935,7.12,0.775,0.18,69
13,999560.21,50.105,128.86,250.915,7.85,0.845,0.215,69
14,999511.075,50.68,143.21,284.125,8.685,0.95,0.275,69
15,999456.19,56.605,154.46,320.72,9.715,0.985,0.325,69
16,999397.875,64.605,163.775,360.76,10.55,1.005,0.43,69
17,999336.33,67.12,179.485,403.18,11.305,1.065,0.515,69
18,999267.475,75.015,193.005,449.165,12.64,1.135,0.565,69
19,999193.76,76.54,214.25,498.61,13.915,1.3,0.625,69
20,999112.105,88.29,227.785,553.445,15.195,1.48,0.7,69
21,999024.57,97.76,245.66,612.395,16.24,1.625,0.75,69
22,998930.035,110.685,262.91,675.335,17.465,1.75,0.82,69
23,998831.0,117.435,284.72,743.78,19.28,1.875,0.91,69
24,998722.56,131.485,304.345,816.93,20.59,2.075,1.015,69
25,998606.51,135.3,336.145,895.455,22.18,2.31,1.1,69
26,998478.98,148.82,361.985,981.72,23.81,2.455,1.23,69
27,998340.53,164.095,388.905,1075.48,25.845,2.77,1.375,69
28,998192.46,179.91,418.855,1175.145,28.17,2.93,1.53,69
29,998034.475,193.21,452.66,1283.275,30.515,3.15,1.715,69
30,997863.53,204.635,492.57,1400.105,32.825,3.49,1.845,69
31,997677.14,217.4,536.8,1526.01,35.685,3.905,2.06,69
32,997473.06,249.46,566.845,1664.61,38.495,4.255,2.275,69
33,997258.945,254.855,625.95,1810.735,41.28,4.735,2.5,69
34,997020.71,289.21,665.435,1971.455,44.37,5.06,2.76,69
35,996765.415,316.595,718.945,2141.765,47.925,5.36,2.995,69
36,996494.205,328.01,789.65,2326.505,51.695,5.675,3.26,69
37,996194.72,362.37,846.05,2530.69,55.695,5.965,3.51,69
38,995876.17,382.825,921.035,2748.26,60.38,6.485,3.845,69
39,995527.16,419.31,989.6,2986.315,65.095,7.32,4.2,69
40,995151.35,457.61,1066.76,3240.81,70.105,7.83,4.535,69
41,994745.46,492.29,1156.42,3514.65,76.82,8.46,4.9,69
42,994306.91,518.875,1263.24,3812.635,82.805,9.245,5.29,69
43,993827.065,583.535,1344.955,4137.6,90.19,9.85,5.805,69
44,993317.945,613.13,1469.43,4483.96,97.82,10.465,6.25,69
45,992761.93,664.65,1587.235,4860.945,106.045,11.475,6.72,69
46,992163.0,718.105,1713.82,5270.225,113.985,12.565,7.3,69
47,991515.76,768.415,1860.595,5709.035,123.67,13.665,7.86,69
48,990811.635,845.41,1997.865,6186.055,134.535,14.845,8.655,69
49,990057.655,902.885,2164.6,6702.855,145.495,16.105,9.405,69
50,989243.43,970.525,2341.065,7259.97,156.415,17.445,10.15,69
51,988366.04,1036.895,2537.36,7859.355,169.965,18.435,10.95,69
52,987412.035,1124.95,2733.37,8513.31,183.33,20.07,11.935,69
53,986385.67,1221.74,2939.205,9219.42,198.255,21.81,12.9,69
54,985276.855,1343.98,3148.05,9978.965,213.465,23.795,13.89,69
55,984091.47,1421.035,3424.81,10790.445,230.635,25.525,15.08,69
56,982802.91,1545.72,3684.055,11673.43,249.285,27.285,16.315,69
57,981421.05,1649.645,3988.455,12624.305,268.17,29.805,17.57,69
58,979929.445,1784.095,4293.645,13651.395,289.51,31.89,19.02,69
59,978323.215,1915.395,4638.82,14754.435,312.405,34.115,20.615,69
60,976596.775,2072.305,4984.9,15948.565,337.375,36.835,22.245,69
61,974745.23,2222.23,5370.47,17233.06,364.305,39.685,24.02,69
62,972751.8,2371.07,5798.125,18616.805,392.17,42.835,26.195,69
63,970605.23,2555.965,6228.025,20112.98,421.95,46.575,28.275,69
64,968303.445,2769.955,6673.13,21715.815,455.915,50.09,30.65,69
65,965850.755,2937.47,7194.92,23439.325,489.845,53.77,32.915,69
66,963195.815,3174.085,7711.86,25294.845,528.86,57.875,35.66,69
67,960366.715,3382.175,8295.73,27285.0,568.255,62.605,38.52,69
68,957336.075,3622.175,8894.08,29425.41,612.205,67.36,41.695,69
69,954098.775,3885.65,9523.355,31715.985,658.05,72.03,45.155,69
70,950640.5,4151.21,10205.97,34167.62,707.25,77.81,48.64,69
71,946943.905,4471.21,10894.705,36792.23,760.99,83.26,52.7,69
72,943013.105,4762.84,11669.065,39592.465,814.315,90.165,57.045,69
73,942564.85,1336.115,12463.845,42601.57,873.71,97.41,61.5,69
74,942086.53,726.375,10267.69,45811.93,935.47,104.55,66.455,69
75,941690.075,532.46,8152.155,48479.635,960.755,112.145,71.775,69
76,941376.61,412.875,6437.95,50624.425,950.505,119.365,77.27,69
77,941129.65,323.395,5073.715,52346.64,918.39,124.24,82.97,69
78,940936.605,252.54,3996.295,53726.835,869.275,128.505,88.945,69
79,940783.26,200.91,3147.535,54832.305,810.21,129.54,95.24,69
80,940662.235,158.055,2479.535,55719.4,749.265,128.735,101.775,69
81,940566.57,125.205,1954.525,56432.5,685.5,126.35,108.35,69
