Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,30
1,999917.0,21.46,46.25,12.68,1.59,0.02,0.0,30
2,999899.62,21.94,50.95,24.37,2.05,0.07,0.0,30
3,999880.45,23.41,55.75,36.77,2.5,0.12,0.0,30
4,999858.86,26.96,59.21,50.82,2.99,0.15,0.01,30
5,999837.13,28.51,62.54,66.93,3.65,0.23,0.01,30
6,999813.09,31.97,66.77,82.72,4.14,0.29,0.02,30
7,999788.37,29.68,76.33,99.69,4.43,0.47,0.03,30
8,999758.53,35.1,80.34,119.3,5.09,0.6,0.04,30
9,999728.62,36.65,87.0,140.41,5.55,0.72,0.05,30
10,999695.17,33.25,101.17,162.3,6.3,0.68,0.13,30
11,999657.15,40.18,105.75,188.02,6.97,0.77,0.16,30
12,999616.84,43.98,115.16,214.39,7.61,0.83,0.19,30
13,999572.38,48.46,124.16,244.41,8.35,1.0,0.24,30
14,999525.37,47.49,139.05,276.64,9.09,1.06,0.3,30
15,999471.92,53.79,149.94,312.17,9.71,1.12,0.35,30
16,999415.08,62.36,158.62,350.71,10.64,1.18,0.41,30
17,999355.32,64.59,174.44,391.44,11.61,1.1,0.5,30
18,999290.48,69.24,189.21,435.61,12.67,1.24,0.55,30
19,999218.66,71.35,209.63,483.75,13.56,1.47,0.58,30
20,999139.51,83.44,221.04,538.11,14.7,1.51,0.69,30
21,999055.69,91.56,238.99,594.27,16.11,1.6,0.78,30
22,998965.69,104.21,254.3,654.75,17.35,1.79,0.91,30
23,998869.54,111.81,275.24,720.51,18.95,1.98,0.97,30
24,998766.65,123.91,292.93,791.95,20.24,2.25,1.07,30
25,998655.04,128.31,322.07,868.26,21.67,2.48,1.17,30
26,998533.72,139.85,346.67,951.42,23.51,2.6,1.23,30
27,998402.08,155.05,372.13,1040.51,25.03,2.82,1.38,30
28,998258.63,171.8,399.38,1137.62,27.27,2.77,1.53,30
29,998106.73,183.8,432.99,1241.11,29.83,2.91,1.63,30
30,997944.28,193.01,472.51,1351.92,32.26,3.21,1.81,30
31,997765.55,206.24,512.82,1474.05,34.77,3.55,2.02,30
32,997571.65,234.89,542.3,1606.84,37.3,3.8,2.22,30
33,997364.98,242.4,599.02,1746.36,39.54,4.26,2.44,30
34,997137.68,273.2,636.66,1901.72,42.55,4.53,2.66,30
35,996896.59,296.2,686.15,2065.47,46.87,4.82,2.9,30
36,996635.27,311.25,751.88,2241.29,50.92,5.31,3.08,30
37,996350.8,340.82,808.83,2434.86,54.87,5.44,3.38,30
38,996041.68,365.54,879.77,2643.18,59.07,6.15,3.61,30
39,995707.32,398.89,949.66,2868.86,63.74,6.59,3.94,30
40,995343.8,436.68,1025.18,3113.74,68.13,7.23,4.24,30
41,994952.56,468.31,1114.81,3377.05,73.84,7.77,4.66,30
42,994529.53,494.56,1219.61,3662.15,79.81,8.27,5.07,30
43,994066.75,555.19,1299.39,3976.06,87.26,8.91,5.44,30
44,993573.92,585.61,1419.51,4310.04,93.91,9.95,6.06,30
45,993033.17,637.1,1535.14,4674.54,101.64,10.84,6.57,30
46,992451.29,687.05,1663.1,5068.4,110.18,11.96,7.02,30
47,991822.84,736.31,1804.58,5495.15,119.77,12.88,7.47,30
48,991139.83,808.5,1942.84,5956.53,128.97,14.12,8.21,30
49,990406.74,866.34,2104.43,6456.97,140.37,15.38,8.77,30
50,989609.83,936.7,2277.67,6997.14,151.0,16.96,9.7,30
51,988752.57,999.61,2473.87,7580.75,163.59,17.95,10.66,30
52,987820.54,1084.11,2669.49,8216.21,177.55,19.53,11.57,30
