Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,64
1,999917.44,21.26,46.35,12.53,1.37,0.05,0.0,64
2,999900.49,21.26,51.34,24.05,1.78,0.07,0.01,64
3,999881.19,23.27,54.89,37.16,2.37,0.11,0.01,64
4,999860.3,26.2,58.44,50.98,2.91,0.16,0.01,64
5,999838.35,28.29,62.21,66.78,3.15,0.21,0.01,64
6,999814.37,31.91,66.16,82.72,3.54,0.29,0.01,64
7,999789.83,29.46,75.51,99.67,4.2,0.3,0.03,64
8,999762.07,32.9,79.61,119.33,4.73,0.33,0.03,64
9,999730.92,37.59,85.21,139.53,5.36,0.36,0.03,64
10,999698.32,33.15,99.82,161.3,5.98,0.4,0.03,64
11,999659.93,40.19,105.24,186.48,6.55,0.56,0.05,64
12,999619.85,43.15,113.84,214.19,7.23,0.65,0.09,64
13,999575.58,48.0,122.51,244.39,7.55,0.84,0.13,64
14,999527.74,48.1,137.88,275.83,8.35,0.94,0.16,64
15,999475.0,53.26,148.7,311.5,9.36,0.95,0.23,64
16,999417.84,62.34,157.43,349.62,10.47,1.02,0.28,64
17,999357.67,64.24,173.45,390.88,11.26,1.19,0.31,64
18,999292.01,70.34,187.49,435.35,12.17,1.29,0.35,64
19,999220.62,72.58,207.88,482.6,13.41,1.53,0.38,64
20,999142.21,83.94,219.74,536.47,14.48,1.7,0.46,64
21,999057.97,93.23,236.73,593.07,15.8,1.64,0.56,64
22,998967.04,105.37,253.81,653.39,16.93,1.82,0.64,64
23,998871.82,112.34,274.58,719.21,18.38,1.99,0.68,64
24,998767.26,125.9,294.37,789.03,19.52,2.09,0.83,64
25,998657.5,126.35,324.87,865.8,21.23,2.28,0.97,64
26,998532.87,141.73,347.93,949.93,22.98,2.47,1.09,64
27,998401.29,155.05,372.87,1041.27,24.65,2.64,1.23,64
28,998259.46,169.88,401.83,1136.56,26.84,3.0,1.43,64
29,998104.15,187.42,433.83,1239.67,29.08,3.26,1.59,64
30,997939.76,195.53,474.89,1351.83,31.73,3.47,1.79,64
31,997758.96,207.86,518.42,1474.23,33.92,3.67,1.94,64
32,997559.34,240.8,547.49,1608.2,37.09,3.92,2.16,64
33,997352.4,243.42,606.93,1749.57,39.98,4.34,2.36,64
34,997122.71,276.68,643.84,1905.22,43.29,4.72,2.54,64
35,996877.71,301.08,693.8,2071.96,46.66,5.02,2.77,64
36,996615.13,313.45,760.9,2250.85,50.27,5.36,3.04,64
37,996324.17,346.98,820.11,2444.37,54.3,5.79,3.28,64
38,996013.86,368.27,891.66,2656.17,58.92,6.59,3.53,64
39,995673.52,404.73,959.77,2886.51,63.48,7.06,3.93,64
40,995304.7,444.62,1037.47,3131.31,68.95,7.56,4.39,64
41,994914.48,469.06,1130.92,3398.01,73.6,8.0,4.93,64
42,994486.5,498.21,1232.91,3686.75,80.29,9.08,5.26,64
43,994014.33,568.2,1311.54,4001.93,87.75,9.43,5.82,64
44,993517.28,593.84,1435.2,4341.41,94.77,10.16,6.34,64
45,992973.17,644.21,1553.31,4706.98,103.41,11.08,6.84,64
46,992384.61,698.72,1681.2,5103.2,111.69,12.09,7.49,64
47,991750.67,746.92,1822.16,5536.77,121.37,13.04,8.07,64
48,991063.64,819.52,1953.86,6007.25,131.58,14.26,8.89,64
49,990326.23,877.63,2115.71,6512.36,141.95,15.37,9.75,64
50,989526.37,946.38,2289.52,7055.8,153.9,16.54,10.49,64
51,988662.84,1013.91,2483.04,7643.65,166.06,18.4,11.1,64
52,987728.04,1099.46,2678.65,8282.2,178.88,19.77,12.0,64
53,986724.15,1191.83,2885.23,8971.23,192.99,20.48,13.09,64
54,985638.35,1308.62,3096.3,9710.52,208.92,22.23,14.06,64
55,984472.07,1388.72,3367.78,10504.13,226.58,24.51,15.21,64
56,983206.41,1511.23,3624.08,11369.67,244.29,26.92,16.4,64
57,981848.07,1613.96,3922.26,12304.66,263.53,28.67,17.85,64
58,980376.6,1750.63,4222.74,13314.5,284.11,31.24,19.18,64
59,978813.95,1858.07,4562.65,14401.75,308.12,33.64,20.82,64
60,977117.6,2018.89,4892.32,15579.11,332.84,35.63,22.61,64
61,975303.57,2165.09,5271.0,16836.7,359.47,38.71,24.46,64
62,973344.2,2316.17,5690.91,18191.34,387.95,41.98,26.45,64
