Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,103
1,999916.4066666666,22.333333333333332,46.27333333333333,12.28,1.6733333333333333,0.03333333333333333,0.0,103
2,999898.6266666667,22.373333333333335,51.54,24.113333333333333,2.2466666666666666,0.08666666666666667,0.013333333333333334,103
3,999879.8466666667,23.186666666666667,56.04,37.0,2.7466666666666666,0.16,0.02,103
4,999858.6466666666,26.166666666666668,59.31333333333333,51.45333333333333,3.1266666666666665,0.26666666666666666,0.02666666666666667,103
5,999836.56,28.293333333333333,63.24666666666667,66.89333333333333,3.64,0.32666666666666666,0.04,103
6,999812.36,32.46666666666667,66.80666666666667,82.94666666666667,3.9133333333333336,0.4666666666666667,0.04,103
7,999787.4666666667,30.153333333333332,76.42,100.11333333333333,4.28,0.5266666666666666,0.04,103
8,999758.6,33.89333333333333,81.81333333333333,119.55333333333333,4.546666666666667,0.5133333333333333,0.08,103
9,999727.4533333334,37.693333333333335,87.36666666666666,140.87333333333333,4.96,0.54,0.11333333333333333,103
10,999695.5866666667,32.666666666666664,101.30666666666667,163.26666666666668,5.513333333333334,0.52,0.14,103
11,999656.1666666666,41.13333333333333,105.54666666666667,189.18666666666667,6.166666666666667,0.64,0.16,103
12,999616.4933333333,43.766666666666666,114.52,216.6,6.693333333333333,0.7466666666666667,0.18,103
13,999572.12,48.28666666666667,124.18,245.98,7.3933333333333335,0.8133333333333334,0.22666666666666666,103
14,999525.0266666666,46.873333333333335,140.25333333333333,277.5,8.286666666666667,0.8133333333333334,0.24666666666666667,103
15,999472.28,51.61333333333334,151.26,313.68,8.966666666666667,0.86,0.34,103
16,999414.4266666666,61.733333333333334,158.81333333333333,353.18666666666667,9.533333333333333,0.92,0.38666666666666666,103
17,999354.3733333333,63.49333333333333,174.44,394.62,10.56,1.12,0.3933333333333333,103
18,999287.62,70.54,188.00666666666666,439.2733333333333,11.853333333333333,1.2666666666666666,0.44,103
19,999216.8066666666,70.74666666666667,208.45333333333335,488.11333333333334,12.96,1.4533333333333334,0.4666666666666667,103
20,999137.0266666666,83.43333333333334,219.56666666666666,542.7666666666667,14.066666666666666,1.6133333333333333,0.5266666666666666,103
21,999052.2333333333,92.36,236.92,599.6933333333334,15.426666666666666,1.7533333333333334,0.6133333333333333,103
22,998961.4466666667,105.43333333333334,252.14666666666668,660.6866666666666,16.8,1.8,0.6866666666666666,103
23,998865.2466666667,113.38,273.73333333333335,725.5,18.446666666666665,1.9466666666666668,0.7466666666666667,103
24,998761.42,125.76,292.18,796.8466666666667,19.84,2.1066666666666665,0.8466666666666667,103
25,998650.18,128.56,323.44,872.2666666666667,21.42,2.2,0.9333333333333333,103
26,998527.3,142.08,347.48,955.8933333333333,22.773333333333333,2.433333333333333,1.04,103
27,998394.98,157.02666666666667,372.1933333333333,1046.2666666666667,24.78,2.6066666666666665,1.1466666666666667,103
28,998252.1666666666,172.1,401.56,1142.5,26.7,2.6733333333333333,1.3,103
29,998098.5866666667,185.98666666666668,434.08666666666664,1246.74,29.173333333333332,2.98,1.4466666666666668,103
30,997931.8266666667,197.49333333333334,474.87333333333333,1358.5,31.393333333333334,3.32,1.5933333333333333,103
31,997750.2533333333,210.50666666666666,515.82,1482.6933333333334,34.373333333333335,3.6266666666666665,1.7266666666666666,103
32,997556.9133333333,236.43333333333334,547.1666666666666,1615.6466666666668,36.98,3.993333333333333,1.8666666666666667,103
33,997348.6333333333,243.88,603.2266666666667,1757.34,39.38666666666666,4.48,2.0533333333333332,103
34,997120.2533333333,275.2733333333333,640.2,1913.8866666666668,42.4,4.673333333333333,2.3133333333333335,103
35,996875.72,300.82,690.0,2078.62,46.25333333333333,5.12,2.466666666666667,103
36,996613.7333333333,313.2733333333333,758.1066666666667,2255.9333333333334,49.86,5.28,2.8133333333333335,103
37,996325.8666666667,344.43333333333334,816.3866666666667,2449.2066666666665,54.346666666666664,5.6866666666666665,3.0733333333333333,103
38,996016.96,367.58,888.1466666666666,2658.2,58.61333333333334,6.126666666666667,3.3733333333333335,103
39,995680.2733333333,401.31333333333333,957.1266666666667,2885.8933333333334,64.09333333333333,6.626666666666667,3.6733333333333333,103
40,995317.3933333333,437.58666666666664,1032.58,3131.4066666666668,68.85333333333334,7.1066666666666665,4.073333333333333,103
41,994926.1466666666,469.46,1117.7533333333333,3398.2533333333336,75.11333333333333,7.926666666666667,4.346666666666667,103
42,994501.3933333333,497.1933333333333,1219.52,3686.2533333333336,81.18666666666667,8.746666666666666,4.706666666666667,103
43,994038.22,559.42,1300.5333333333333,3998.653333333333,87.75333333333333,9.34,5.08,103
44,993545.7533333333,588.12,1421.0666666666666,4333.873333333333,94.61333333333333,10.006666666666666,5.566666666666666,103
45,993005.58,640.1533333333333,1536.0333333333333,4697.953333333333,102.40666666666667,10.833333333333334,6.04,103
46,992425.0933333334,690.16,1660.36,5094.206666666667,110.78,11.733333333333333,6.666666666666667,103
47,991798.44,738.34,1802.4066666666668,5519.9,119.89333333333333,12.813333333333333,7.206666666666667,103
48,991118.0733333334,809.94,1935.9266666666667,5983.32,129.79333333333332,14.193333333333333,7.753333333333333,103
49,990388.8,863.9933333333333,2098.72,6483.433333333333,140.61333333333334,14.886666666666667,8.553333333333333,103
50,989593.02,937.8666666666667,2266.82,7023.873333333333,152.03333333333333,16.16,9.226666666666667,103
51,988737.08,1000.4,2463.8533333333335,7605.76,164.22,17.606666666666666,10.08,103
52,987810.02,1083.9333333333334,2654.2533333333336,8242.533333333333,178.24,19.053333333333335,10.966666666666667,103
53,986815.5933333334,1174.1466666666668,2858.2,8926.313333333334,191.84,21.066666666666666,11.84,103
