"wardNo";"totalPopulation";"fracPopulation"
1	  ; 3807  ; 0.0038057669315141895
2	  ; 4225  ; 0.004223631543379945
3	  ; 6662  ; 0.006659842211123596
4	  ; 3352  ; 0.00335091430376558
5	  ; 4352  ; 0.004350590408707579
6	  ; 4283  ; 0.0042816127574665805
7	  ; 6567  ; 0.006564872981154106
8	  ; 3253  ; 0.003251946369376322
9	  ; 5353  ; 0.00535126618975452
10  ; 7619  ; 0.007616532243553089
11  ; 5315  ; 0.005313278497766724
12	; 3413	; 0.0034118945461670417
13	; 4616	; 0.004614504900412267
14	; 3328	; 0.003326922077246972
15	; 6129	; 0.0061270148471895105
16	; 3690	; 0.0036888048272359754
17	; 3975	; 0.003973712517144445
18	; 3536	; 0.0035348547070749078
19	; 3208	; 0.003206960944653932
20	; 4802	; 0.0048004446559314785
21	; 4632	; 0.004630499718091339
22	; 6632	; 0.006629851927975336
23	; 3578	; 0.0035768411034824716
24	; 6412	; 0.006409923184888097
25	; 3461	; 0.003459878999204258
26	; 6338	; 0.006335947153122389
27	; 4958	; 0.00495639412830243
28	; 7503	; 0.007500569815379817
29	; 3648	; 0.0036468184308284116
30	; 3679	; 0.0036778083900816136
31	; 5403	; 0.00540124999500162
32	; 4359	; 0.004357588141442173
33	; 3338	; 0.003336918838296392
34	; 5198	; 0.0051963163934885094
35	; 4807	; 0.004805443036456188
36	; 2483	; 0.002482195768570983
37	; 1358	; 0.0013575601505112344
38	; 234	  ; 0.0002339242085564277
39	; 2801	; 0.0028000927699425387
40	; 7894	; 0.007891443172412138
41	; 4350	; 0.004348591056497695
42	; 3912	; 0.0039107329225330995
43	; 2174	; 0.0021732958521439054
44	; 5421	; 0.005419244164890575
45	; 3601	; 0.0035998336538961375
46	; 3665	; 0.0036638129246124255
47	; 10855 ;	0.010851484119145396
48	; 7709	; 0.007706503092997869
49	; 5191	; 0.005189318660753916
50	; 9710	; 0.009706854978986807
51	; 6612	; 0.006609858405876496
52	; 4692	; 0.004690480284387858
53	; 8850	; 0.00884713352873669
54	; 7768	; 0.007765483983189447
55	; 8275	; 0.00827231976839504
56	; 4220	; 0.004218633162855235
57	; 2568	; 0.0025671682374910527
58	; 4514	; 0.004512537937708182
59	; 12944 ;	0.012939807502369232
60	; 6463	; 0.006460906666240138
61	; 4762	; 0.004760457611733798
62	; 5533	; 0.005531207888644079
63	; 2486	; 0.002485194796885809
64	; 10238 ;	0.010234683962396183
65	; 7922	; 0.007919434103350515
66	; 8253	; 0.008250326894086316
67	; 12621 ;	0.012616912120472966
68	; 4857	; 0.004855426841703288
69	; 2431	; 0.002430212611113999
70	; 3193	; 0.003191965803079802
71	; 4258	; 0.004256620854843031
72	; 4029	; 0.004027695026811313
73	; 5603	; 0.005601185215990019
74	; 8651	; 0.008648197983853231
75	; 4249	; 0.004247623769898553
76	; 6990	; 0.0069877359735445715
77	; 8820	; 0.00881714324558843
78	; 3907	; 0.0039057345420083892
79	; 7132	; 0.007129689980446335
