"size_of_schools";"number";"mean_size_of_schools"
1-10; 7;5
11-20; 5;15
21-30; 5;25
31-40; 9;35
41-50; 5;45
51-60; 3;55
61-70; 4;65
71-80; 9;75
81-90; 5;85
91-100; 9;95
101-110; 13;105
111-120; 13;115
121-130; 13;125
131-140; 18;135
141-150; 8;145
151-160; 12;155
161-170; 9;165
171-180; 7;175
181-190; 8;185
191-200; 15;195
201-210; 17;205
211-220; 16;215
221-230; 13;225
231-240; 13;235
241-250; 9;245
251-260; 8;255
261-270; 18;265
271-280; 18;275
281-290; 4;285
291-300; 12;295
301-310; 5;305
311-320; 5;315
321-330; 9;325
331-340; 9;335
341-350; 13;345
351-360; 8;355
361-370; 8;365
371-380; 10;375
381-390; 12;385
391-400; 10;395
401-410; 9;405
411-420; 11;415
421-430; 11;425
431-440; 8;435
441-450; 6;445
451-460; 8;455
461-470; 5;465
471-480; 5;475
481-490; 15;485
491-500; 5;495
501-510; 3;505
511-520; 8;515
521-530; 2;525
531-540; 5;535
541-550; 1;545
551-560; 5;555
561-570; 4;565
571-580; 2;575
581-590; 4;585
591-600; 5;595
601-610; 1;605
621-630; 1;625
631-640; 1;635
641-650; 3;645
651-660; 1;655
661-670; 2;665
671-680; 2;675
681-690; 1;685
691-700; 1;695
711-720; 2;715
731-740; 1;735
741-750; 3;745
751-760; 2;755
761-770; 3;765
771-780; 1;775
781-790; 1;785
791-800; 2;795
811-820; 1;815
