"size_of_workplaces";"number";"mean_size_of_workplaces"
1-10; 18208;5
11-20; 2564;15
21-30; 1081;25
31-40; 563;35
41-50; 364;45
51-60; 245;55
61-70; 191;65
71-80; 132;75
81-90; 109;85
91-100; 84;95
101-110; 90;105
111-120; 55;115
121-130; 68;125
131-140; 54;135
141-150; 35;145
151-160; 39;155
161-170; 23;165
171-180; 28;175
181-190; 15;185
191-200; 21;195
201-210; 14;205
211-220; 18;215
221-230; 25;225
231-240; 15;235
241-250; 24;245
251-260; 21;255
261-270; 5;265
271-280; 11;275
281-290; 8;285
291-300; 8;295
301-310; 9;305
311-320; 8;315
321-330; 15;325
331-340; 5;335
341-350; 3;345
351-360; 10;355
361-370; 4;365
371-380; 10;375
381-390; 7;385
391-400; 6;395
401-410; 3;405
411-420; 4;415
421-430; 4;425
431-440; 6;435
441-450; 1;445
451-460; 2;455
461-470; 4;465
471-480; 5;475
481-490; 2;485
491-500; 4;495
501-510; 3;505
511-520; 1;515
521-530; 5;525
531-540; 7;535
541-550; 3;545
551-560; 2;555
561-570; 2;565
571-580; 2;575
581-590; 3;585
591-600; 4;595
601-610; 1;605
611-620; 5;615
621-630; 2;625
631-640; 3;635
641-650; 3;645
651-660; 2;655
661-670; 1;665
671-680; 1;675
681-690; 3;685
691-700; 1;695
711-720; 3;715
721-730; 1;725
751-760; 2;755
761-770; 2;765
771-780; 3;775
781-790; 2;785
791-800; 1;795
801-810; 3;805
811-820; 2;815
841-850; 2;845
851-860; 1;855
891-900; 1;895
901-910; 3;905
911-920; 2;915
921-930; 2;925
931-940; 1;935
941-950; 1;945
991-1000; 1;995
1051-1060; 1;1055
1101-1110; 2;1105
1131-1140; 2;1135
1141-1150; 1;1145
1151-1160; 1;1155
1161-1170; 2;1165
1211-1220; 1;1215
1221-1230; 1;1225
1231-1240; 2;1235
1261-1270; 1;1265
1311-1320; 2;1315
1341-1350; 1;1345
1371-1380; 1;1375
1381-1390; 1;1385
1401-1410; 1;1405
1491-1500; 1;1495
1551-1560; 1;1555
1591-1600; 1;1595
1601-1610; 1;1605
1621-1630; 1;1625
1831-1840; 2;1835
1871-1880; 1;1875
1921-1930; 1;1925
1951-1960; 1;1955
